Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Ogre-Head Helm,R,R,6109,1.93,2985,1.94,14567,55.0%,2650,56.9%,3962,55.5%,6612,56.1%,8280,54.2%,1.9pp
Mothrider Patrol,W,C,126461,5.68,18081,8.01,52793,54.4%,11987,55.5%,21286,56.4%,33273,56.1%,26137,53.4%,2.6pp
Jungle Hollow,BG,B,51154,6.82,10647,9.07,35706,55.9%,6852,56.9%,9891,55.4%,16743,56.0%,19387,55.7%,0.3pp
Shrine Steward,,C,146548,7.76,20541,10.85,24711,54.9%,4176,53.6%,8598,57.1%,12774,56.0%,13084,54.0%,1.9pp
Favor of Jukai,G,C,145358,7.93,17922,11.42,16164,54.7%,2704,54.4%,5395,56.7%,8099,55.9%,8797,54.1%,1.8pp
Bearer of Memory,G,C,135133,6.52,20162,9.33,58120,55.8%,11871,54.0%,21619,56.9%,33490,55.9%,30012,55.7%,0.2pp
Repel the Vile,W,C,122343,5.54,14184,8.32,41533,54.6%,7339,53.5%,12860,57.2%,20199,55.9%,22362,53.6%,2.3pp
Moonfolk Puzzlemaker,U,C,127383,5.89,18674,8.41,55931,54.5%,11927,53.2%,27625,57.0%,39552,55.8%,26416,53.7%,2.2pp
Sky-Blessed Samurai,W,U,34388,3.64,7346,4.67,31384,54.9%,5624,52.7%,11491,57.3%,17115,55.8%,16262,54.2%,1.6pp
Born to Drive,W,U,42751,4.67,5265,6.76,13313,53.0%,2481,53.6%,4301,57.0%,6782,55.8%,7038,50.7%,5.1pp
Iron Apprentice,,C,131692,5.78,17365,8.46,49780,54.3%,11047,56.2%,17483,55.5%,28530,55.7%,25909,53.5%,2.3pp
Go-Shintai of Boundless Vigor,G,U,28148,3.04,8156,3.72,37804,54.8%,7451,55.7%,13828,55.8%,21279,55.7%,19466,53.5%,2.2pp
Ninja's Kunai,,C,130621,5.64,23051,8.04,78493,55.2%,15088,54.3%,24976,56.4%,40064,55.6%,41312,55.1%,0.5pp
Wanderer's Intervention,W,C,108903,4.67,13716,6.85,48744,54.4%,9829,53.4%,16117,56.9%,25946,55.6%,25006,53.3%,2.3pp
Towashi Guide-Bot,,U,35765,3.53,7812,4.69,34803,54.6%,6123,53.6%,10934,56.7%,17057,55.6%,18907,53.8%,1.7pp
"Naomi, Pillar of Order",WB,U,38338,4.24,7390,5.56,21866,54.3%,4028,53.7%,7945,56.5%,11973,55.6%,11215,53.3%,2.3pp
Scoured Barrens,WB,B,50410,6.57,8926,9.02,28643,55.6%,5475,56.7%,7973,54.8%,13448,55.6%,15542,55.7%,-0.2pp
Historian's Wisdom,G,U,52802,6.01,6872,8.82,13182,55.0%,2302,53.9%,4535,56.4%,6837,55.6%,7113,55.3%,0.2pp
Go-Shintai of Lost Wisdom,U,U,47883,5.37,7366,7.69,16212,53.1%,3106,52.6%,7199,56.8%,10305,55.5%,7982,51.2%,4.3pp
Boon of Boseiju,G,U,55598,6.55,7162,9.66,11085,54.0%,1782,52.4%,3139,57.2%,4921,55.5%,6304,53.0%,2.5pp
Nezumi Bladeblesser,B,C,128414,5.86,17265,8.61,49283,55.8%,10243,54.4%,18718,56.0%,28961,55.4%,25194,56.0%,-0.6pp
Skyswimmer Koi,U,C,121587,5.49,19303,7.71,57375,54.3%,11997,53.5%,24721,56.3%,36718,55.4%,27040,53.1%,2.3pp
Return to Action,B,C,144603,7.73,18571,11.15,22367,55.3%,3711,53.4%,6587,56.5%,10298,55.4%,12376,55.1%,0.3pp
Mirrorshell Crab,U,C,127266,5.95,18435,8.59,49606,53.9%,9353,52.1%,19989,56.9%,29342,55.4%,23743,52.8%,2.6pp
Go-Shintai of Hidden Cruelty,B,U,34648,3.71,7774,4.80,26600,54.1%,4701,52.5%,9610,56.7%,14311,55.3%,13780,53.0%,2.4pp
