Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Spinning Wheel Kick,G,U,35791,01/04/51,8042,01/05/66,32744,57.2%,5578,54.5%,10306,62.2%,15884,59.5%,17743,55.5%,3.9pp
Touch the Spirit Realm,W,U,19512,01/02/39,7482,01/02/77,35811,56.7%,6857,57.3%,12018,61.9%,18875,60.2%,18457,53.6%,6.6pp
Michiko's Reign of Truth,W,U,32208,01/02/91,10385,01/03/38,46267,56.6%,9488,58.2%,17210,61.8%,26698,60.5%,22971,53.2%,7.3pp
Surgehacker Mech,,R,4030,01/01/48,2602,01/01/45,13192,56.7%,2183,60.5%,3766,61.8%,5949,61.3%,7447,53.5%,7.8pp
Twisted Embrace,B,C,59150,01/03/00,20558,01/03/59,82569,57.1%,18205,57.4%,35832,61.6%,54037,60.2%,38351,54.6%,5.6pp
"Kotose, the Silent Spider",UB,R,5938,01/02/26,2684,01/02/29,11516,56.2%,1925,56.5%,4199,61.6%,6124,60.0%,5971,53.3%,6.7pp
Blade of the Oni,B,M,1812,01/01/27,1463,01/01/26,7796,57.6%,1481,60.0%,2513,61.5%,3994,60.9%,4222,54.8%,6.1pp
Invoke Despair,B,R,7471,01/02/71,2320,01/02/92,8537,56.5%,1394,57.2%,2561,61.4%,3955,59.9%,4671,53.9%,6.0pp
Twinshot Sniper,R,U,21176,01/02/61,9214,01/02/93,41105,56.2%,8352,59.3%,13528,61.3%,21880,60.6%,21745,53.0%,7.6pp
Moonsnare Specialist,U,C,88241,01/04/42,22231,01/05/63,73275,56.4%,18441,55.2%,41445,61.2%,59886,59.4%,30884,54.4%,5.0pp
Gravelighter,B,U,27636,01/03/29,7392,01/04/15,33460,57.2%,6433,57.0%,12626,61.2%,19059,59.8%,17655,55.9%,3.9pp
Invoke the Winds,U,R,6984,01/02/58,2619,01/02/66,10375,55.6%,1698,54.3%,3603,60.9%,5301,58.8%,5230,52.7%,6.1pp
Silver-Fur Master,UB,U,30534,04/07/22,6642,01/04/96,21824,57.4%,4943,60.4%,10204,60.9%,15147,60.7%,10020,54.9%,5.8pp
March of Wretched Sorrow,B,R,4930,01/01/84,2918,01/01/84,14926,57.1%,2525,56.9%,4235,60.9%,6760,59.4%,8269,55.5%,3.9pp
Season of Renewal,G,C,119538,07/01/22,23001,01/09/20,76223,56.9%,13636,53.6%,26011,60.8%,39647,58.3%,40769,56.6%,1.8pp
Moon-Circuit Hacker,U,C,91904,01/04/64,20055,06/04/22,65654,56.5%,17247,58.7%,34731,60.6%,51978,59.9%,28279,54.3%,5.7pp
Thousand-Faced Shadow,U,R,5006,01/01/91,2542,01/01/91,11522,55.1%,2044,56.2%,5452,60.6%,7496,59.4%,5926,53.9%,5.4pp
Okiba Reckoner Raid,B,C,93361,01/04/31,27625,05/10/22,92317,58.1%,25573,64.2%,47711,60.5%,73284,61.8%,40137,54.6%,7.2pp
"Jin-Gitaxias, Progress Tyrant",U,M,1710,01/01/25,1315,01/01/22,6116,55.1%,997,56.0%,2088,60.4%,3085,59.0%,3162,51.3%,7.7pp
Teachings of the Kirin,G,R,6152,01/02/33,2739,01/02/41,13485,58.1%,2470,65.9%,4264,60.4%,6734,62.4%,7305,54.4%,8.0pp
"Boseiju, Who Endures",G,R,5455,02/05/22,2668,02/12/22,12628,56.2%,2278,56.7%,3789,60.4%,6067,59.0%,6906,54.5%,4.5pp
Banishing Slash,W,U,22715,01/02/80,6701,01/03/31,29926,56.0%,5585,56.9%,9558,60.3%,15143,59.0%,15740,53.4%,5.6pp
Searchlight Companion,,C,111921,01/05/52,20163,01/07/76,70522,56.7%,15092,56.3%,32901,60.2%,47993,59.0%,35017,55.9%,3.1pp
Nezumi Prowler,B,U,26815,01/03/19,7630,01/03/98,35981,56.6%,7241,56.2%,13116,60.2%,20357,58.8%,18858,55.2%,3.6pp
Cloudsteel Kirin,W,R,4066,01/01/51,2452,01/01/51,12165,54.7%,2180,54.5%,3845,60.1%,6025,58.1%,6585,52.1%,6.0pp
Weaver of Harmony,G,R,4642,01/01/73,2778,01/01/69,14517,56.8%,2694,59.2%,4957,60.1%,7651,59.8%,7835,54.4%,5.4pp
"Atsushi, the Blazing Sky",R,M,1720,01/01/29,1302,01/01/24,6249,55.7%,1108,59.8%,1830,60.1%,2938,60.0%,3502,52.2%,7.8pp
Jukai Naturalist,WG,U,31843,04/11/22,7574,05/02/22,27670,57.6%,6097,63.0%,11133,60.1%,17230,61.1%,13627,53.8%,7.3pp
Thundering Raiju,R,R,4234,01/01/58,2554,01/01/53,12317,55.7%,2169,59.8%,3316,60.0%,5485,59.9%,7042,52.5%,7.4pp
The Fall of Lord Konda,W,U,36697,01/03/27,9632,01/04/00,41411,55.7%,7620,55.7%,14177,59.9%,21797,58.4%,21731,53.8%,4.6pp
The Modern Age,U,C,105547,01/04/93,24112,01/06/23,75372,56.8%,19573,59.8%,38212,59.8%,57785,59.8%,33147,53.5%,6.3pp
Kami of Terrible Secrets,B,C,114137,06/08/22,19880,01/08/38,51011,57.0%,10888,56.0%,21203,59.8%,32091,58.5%,24912,56.1%,2.4pp
Oni-Cult Anvil,BR,U,35722,01/04/71,8664,01/05/60,25070,56.4%,5919,59.7%,8346,59.8%,14265,59.7%,12562,54.2%,5.5pp
Suit Up,U,C,126120,01/08/15,15996,01/11/50,18048,56.7%,3400,55.7%,6635,59.7%,10035,58.3%,8890,55.2%,3.1pp
Kami of Transience,G,R,4428,01/01/67,2810,01/01/64,15317,58.7%,2809,66.7%,6843,59.7%,9652,61.7%,8483,55.3%,6.4pp
Master's Rebuke,G,C,88902,01/04/43,20680,01/05/78,79641,56.7%,17473,55.9%,28864,59.7%,46337,58.2%,39378,55.3%,2.9pp
Dockside Chef,B,U,32007,01/03/84,8880,01/04/80,38600,57.5%,7674,60.2%,14085,59.6%,21759,59.8%,20567,56.4%,3.4pp
March of Otherworldly Light,W,R,5397,01/01/94,2465,01/01/99,11872,55.5%,2006,54.6%,3384,59.5%,5390,57.7%,6567,53.8%,3.9pp
High-Speed Hoverbike,,U,30693,01/03/44,6809,01/04/57,30282,55.4%,5778,54.8%,10486,59.5%,16264,57.8%,16218,54.4%,3.4pp
Mindlink Mech,U,R,4870,01/01/83,2534,01/01/79,12185,55.8%,2081,58.0%,3972,59.5%,6053,59.0%,6405,53.1%,5.9pp
Assassin's Ink,B,U,17793,01/02/28,7837,01/02/56,37769,56.5%,6929,55.8%,11660,59.4%,18589,58.1%,20205,55.5%,2.6pp
Geothermal Kami,G,C,113049,01/06/23,23386,08/08/22,72470,56.2%,15425,54.1%,30743,59.4%,46168,57.6%,35612,55.4%,2.2pp
Roadside Reliquary,,U,44514,01/05/17,7089,01/07/39,29039,56.7%,5146,56.3%,8551,59.3%,13697,58.2%,15918,55.5%,2.7pp
Fade into Antiquity,G,C,109525,06/04/22,22670,01/07/91,81103,56.4%,16537,55.1%,27134,59.3%,43671,57.7%,41875,55.4%,2.3pp
Selfless Samurai,W,U,26844,01/03/22,6460,01/04/00,27287,55.5%,5617,58.9%,9142,59.2%,14759,59.1%,14440,52.6%,6.5pp
Lion Sash,W,R,3892,01/01/48,2558,01/01/45,12698,56.1%,2345,57.4%,3894,59.2%,6239,58.5%,6885,54.1%,4.4pp
"Eiganjo, Seat of the Empire",W,R,5228,01/01/93,2344,02/04/22,11022,56.0%,2049,55.7%,3114,59.2%,5163,57.8%,5989,54.4%,3.4pp
"Raiyuu, Storm's Edge",WR,R,6161,01/02/46,1927,01/02/44,7074,54.1%,1271,59.9%,1932,59.2%,3203,59.5%,4045,50.2%,9.3pp
Harmonious Emergence,G,C,120509,01/07/29,17970,01/10/14,35346,56.4%,6807,56.1%,13552,59.2%,20359,58.2%,17689,55.2%,2.9pp
Jukai Preserver,G,C,96108,01/04/76,22139,01/06/23,84045,56.6%,19337,56.7%,37881,59.2%,57218,58.3%,39657,55.0%,3.3pp
Tales of Master Seshiro,G,C,99105,01/04/61,22160,01/05/96,86656,56.3%,17797,56.4%,34905,59.1%,52702,58.2%,41737,54.3%,3.9pp
Invoke Justice,W,R,7049,01/02/63,1952,01/02/90,6806,54.6%,1093,57.5%,2001,59.1%,3094,58.5%,3771,51.8%,6.7pp
Brilliant Restoration,W,R,9356,01/03/38,2018,04/04/22,6205,54.5%,914,52.2%,1888,59.0%,2802,56.8%,3448,52.8%,4.0pp
Go-Shintai of Shared Purpose,W,U,24855,03/07/22,5885,01/03/83,24475,54.8%,4402,54.3%,8571,59.0%,12973,57.4%,12472,52.4%,5.0pp
Inkrise Infiltrator,B,C,108119,01/05/71,16281,01/08/16,50750,56.3%,11392,56.2%,25917,58.9%,37309,58.1%,25122,55.4%,2.6pp
Clawing Torment,B,C,116532,01/06/60,15644,01/09/58,32431,56.9%,6726,55.6%,11173,58.8%,17899,57.6%,16360,56.3%,1.4pp
Enthusiastic Mechanaut,UR,U,40591,01/05/60,7371,01/07/21,16863,54.6%,3962,61.4%,7642,58.7%,11604,59.6%,7684,49.8%,9.8pp
Tamiyo's Compleation,U,C,93077,01/04/70,18903,01/06/32,66681,55.5%,14394,53.1%,28764,58.6%,43158,56.8%,29806,54.3%,2.5pp
"Hidetsugu, Devouring Chaos",BR,R,4204,01/01/63,2786,01/01/59,13919,55.2%,2375,55.9%,4236,58.6%,6611,57.6%,7847,53.2%,4.5pp
Fang of Shigeki,G,C,99493,05/04/22,21708,01/06/65,83453,57.1%,20061,59.2%,41619,58.6%,61680,58.8%,39676,55.4%,3.4pp
Prosperous Thief,U,U,28390,01/03/49,7119,01/04/36,30463,55.9%,6115,58.8%,11437,58.6%,17552,58.7%,15028,53.3%,5.4pp
"Tezzeret, Betrayer of Flesh",U,M,1729,01/01/26,1225,01/01/21,5422,53.9%,922,55.0%,1634,58.6%,2556,57.3%,2889,51.0%,6.3pp
Tamiyo's Safekeeping,G,C,123254,01/07/58,16803,01/10/78,32603,56.5%,5495,56.3%,9730,58.5%,15225,57.7%,17971,55.6%,2.1pp
Greater Tanuki,G,C,91153,01/04/55,20736,06/02/22,80171,56.0%,18289,52.9%,36080,58.3%,54369,56.5%,37729,55.7%,0.8pp
Mukotai Ambusher,B,C,100577,05/03/22,17228,07/09/22,61190,56.7%,12972,56.7%,23932,58.3%,36904,57.7%,30392,55.8%,1.9pp
Generous Visitor,G,U,24249,03/04/22,9216,01/03/42,42519,57.5%,8997,64.7%,15371,58.2%,24368,60.6%,22099,54.7%,5.9pp
Lethal Exploit,B,C,91028,01/04/53,19975,06/01/22,73263,56.6%,16263,55.6%,25738,58.1%,42001,57.1%,36167,56.0%,1.2pp
"Otawara, Soaring City",U,R,6814,01/02/43,2512,01/02/67,11246,55.2%,2019,54.6%,3470,58.0%,5489,56.7%,5859,54.0%,2.8pp
Seismic Wave,R,U,31409,01/03/86,7389,01/04/77,29561,55.3%,5595,55.0%,8314,57.8%,13909,56.7%,16348,54.3%,2.4pp
Satoru Umezawa,UB,R,5569,01/02/18,2383,01/02/15,9693,55.5%,1687,57.7%,3760,57.8%,5447,57.8%,5116,53.5%,4.3pp
Bamboo Grove Archer,G,C,112176,06/06/22,18499,01/08/46,59396,56.3%,12730,57.2%,23855,57.8%,36585,57.6%,30003,54.9%,2.6pp
Intercessor's Arrest,W,C,69653,01/03/33,16275,01/04/34,65936,55.3%,14095,53.4%,25283,57.7%,39378,56.2%,31612,54.4%,1.8pp
Commune with Spirits,G,C,123678,01/07/80,22018,01/10/21,49144,56.9%,11558,56.6%,17186,57.7%,28744,57.2%,24217,56.6%,0.6pp
Dokuchi Shadow-Walker,B,C,111977,06/09/22,16598,01/08/69,46772,56.4%,9059,55.6%,17570,57.7%,26629,57.0%,23655,55.5%,1.5pp
Sky-Blessed Samurai,W,U,29838,01/03/64,6438,01/04/64,27407,55.2%,4865,53.1%,9967,57.6%,14832,56.1%,14264,54.4%,1.7pp
Kami's Flare,R,C,71232,01/03/56,18922,01/04/43,68082,55.3%,16912,56.2%,24081,57.6%,40993,57.0%,33244,53.6%,3.4pp
Experimental Synthesizer,R,C,113674,01/06/32,20747,01/08/31,54336,55.3%,13593,55.8%,19565,57.5%,33158,56.8%,26257,54.3%,2.4pp
Kodama of the West Tree,G,M,1914,01/01/43,1248,01/01/40,6204,55.5%,1115,59.1%,1949,57.4%,3064,58.0%,3422,53.0%,5.0pp
Boon of Boseiju,G,U,48057,01/06/53,6266,01/09/63,9710,54.2%,1543,52.5%,2716,57.3%,4259,55.6%,5564,53.3%,2.3pp
Shrine Steward,,C,127335,01/07/80,17357,01/10/92,19833,54.9%,3324,53.2%,6886,57.3%,10210,56.0%,10524,54.0%,2.0pp
Thirst for Knowledge,U,U,37812,01/04/75,7621,01/06/21,26324,54.3%,4941,51.3%,8762,57.2%,13703,55.1%,13384,53.5%,1.5pp
"Goro-Goro, Disciple of Ryusei",R,R,4286,01/01/66,2398,01/01/64,11729,54.8%,2072,58.7%,3036,57.2%,5108,57.8%,6857,52.6%,5.2pp
Leech Gauntlet,B,U,27116,01/03/23,7667,04/02/22,35376,56.3%,7032,58.1%,11962,57.1%,18994,57.5%,18830,55.6%,1.9pp
Bearer of Memory,G,C,117231,01/06/55,17448,01/09/34,49397,56.0%,10124,54.5%,18337,57.1%,28461,56.1%,25508,55.8%,0.3pp
Towashi Guide-Bot,,U,31108,01/03/56,6764,01/04/72,29916,54.7%,5249,53.8%,9367,57.0%,14616,55.8%,16279,53.9%,1.9pp
Go-Shintai of Lost Wisdom,U,U,41605,01/05/39,6288,01/07/72,13533,53.2%,2571,53.3%,5977,57.0%,8548,55.9%,6689,51.2%,4.6pp
Wanderer's Intervention,W,C,94253,01/04/66,11976,01/06/81,42472,54.5%,8621,53.3%,14040,57.0%,22661,55.6%,21786,53.5%,2.0pp
"Takenuma, Abandoned Mire",B,R,7528,01/02/58,2614,01/02/91,12339,57.0%,2187,55.3%,3425,57.0%,5612,56.3%,6818,57.6%,-1.3pp
Disruption Protocol,U,C,123017,01/07/64,14290,11/10/22,16628,54.0%,3021,51.6%,6024,56.9%,9045,55.2%,8205,52.7%,2.5pp
Prodigy's Prototype,WU,U,36175,01/04/76,5249,01/06/46,12343,53.4%,2620,57.6%,5105,56.9%,7725,57.1%,5641,49.5%,7.7pp
Born to Drive,W,U,36875,01/04/64,4579,01/06/65,11649,53.1%,2170,54.4%,3742,56.9%,5912,56.0%,6172,50.7%,5.3pp
Golden-Tail Disciple,W,C,106597,01/05/44,15395,01/07/81,50592,55.9%,11159,55.5%,19533,56.9%,30692,56.4%,25210,55.1%,1.3pp
Moonfolk Puzzlemaker,U,C,110600,01/05/89,16209,01/08/40,48568,54.5%,10350,53.1%,23904,56.9%,34254,55.7%,22997,53.8%,1.9pp
Repel the Vile,W,C,105974,01/05/53,12204,01/08/30,35633,54.5%,6307,53.4%,10959,56.8%,17266,55.6%,19240,53.7%,1.9pp
"Naomi, Pillar of Order",WB,U,33165,01/04/23,6358,01/05/51,18685,54.5%,3457,53.8%,6799,56.8%,10256,55.8%,9564,53.2%,2.7pp
Mirrorshell Crab,U,C,110164,01/05/95,16046,01/08/56,43388,53.9%,8203,52.3%,17473,56.8%,25676,55.4%,20739,52.9%,2.5pp
Go-Shintai of Hidden Cruelty,B,U,30124,01/03/73,6759,01/04/81,22790,54.2%,4017,53.2%,8196,56.8%,12213,55.6%,11834,53.0%,2.6pp
Thornwood Falls,UG,B,44985,07/10/22,8929,01/09/50,27141,56.0%,5337,58.0%,8000,56.8%,13337,57.3%,14237,54.9%,2.4pp
Azusa's Many Journeys,G,U,48267,01/04/29,10825,01/05/54,44973,57.3%,9368,62.4%,16041,56.7%,25409,58.8%,23438,55.4%,3.4pp
Favor of Jukai,G,C,126041,01/07/94,15463,01/11/43,13933,55.1%,2334,54.4%,4609,56.7%,6943,55.9%,7617,54.6%,1.4pp
Era of Enlightenment,W,C,105500,01/04/79,17872,01/06/58,59599,55.6%,14250,57.4%,24210,56.7%,38460,57.0%,28506,54.3%,2.6pp
Tranquil Cove,WU,B,44173,01/06/91,7565,01/09/48,22279,55.3%,4227,56.5%,6779,56.6%,11006,56.6%,11765,54.5%,2.1pp
Eater of Virtue,,R,3398,01/01/29,2702,01/01/28,15461,55.6%,2707,56.4%,4223,56.6%,6930,56.6%,8569,54.8%,1.8pp
Skyswimmer Koi,U,C,105311,01/05/50,16900,01/07/69,50230,54.4%,10552,53.4%,21674,56.6%,32226,55.6%,23648,53.2%,2.4pp
Historian's Wisdom,G,U,45839,06/01/22,6016,01/08/78,11486,55.2%,2008,53.9%,3937,56.6%,5945,55.7%,6220,55.5%,0.1pp
Dismal Backwater,UB,B,43062,01/06/45,8027,01/08/81,28984,56.3%,5569,57.9%,8611,56.5%,14180,57.1%,15207,55.7%,1.4pp
Mothrider Patrol,W,C,109465,01/05/67,15938,01/07/95,46711,54.5%,10709,55.4%,18832,56.5%,29541,56.1%,23046,53.5%,2.6pp
Ninja's Kunai,,C,113552,01/05/68,20193,08/06/22,68188,55.4%,13124,54.3%,21619,56.5%,34743,55.7%,35954,55.2%,0.5pp
Voltage Surge,R,C,88497,01/04/52,19682,01/05/79,67071,55.2%,16580,55.8%,23334,56.5%,39914,56.2%,32925,54.1%,2.1pp
Tribute to Horobi,B,R,4707,01/01/75,2946,01/01/75,14995,56.4%,2776,63.1%,4641,56.5%,7417,59.0%,8192,54.6%,4.3pp
Sunblade Samurai,W,C,98369,01/04/79,16845,01/06/66,64004,54.8%,13766,52.7%,24333,56.5%,38099,55.1%,31726,54.5%,0.6pp
Dokuchi Silencer,B,U,28352,01/03/45,6523,01/04/37,27422,55.1%,5415,54.3%,9388,56.4%,14803,55.7%,14475,55.2%,0.5pp
Kami of Restless Shadows,B,C,123558,01/07/50,15293,01/10/80,18062,55.1%,3080,52.7%,6513,56.4%,9593,55.2%,9584,55.7%,-0.6pp
Essence Capture,U,U,44802,06/09/22,5714,01/08/89,10538,53.9%,1936,53.4%,3524,56.4%,5460,55.3%,5322,52.6%,2.7pp
March of Swirling Mist,U,R,11128,01/03/95,2077,05/06/22,5226,53.9%,773,50.7%,1629,56.4%,2402,54.5%,2844,53.3%,1.2pp
Return to Action,B,C,125348,01/07/71,15913,01/11/13,19153,55.1%,3173,53.0%,5604,56.4%,8777,55.1%,10617,55.1%,0.1pp
"Norika Yamazaki, the Poet",W,U,27109,01/03/24,5909,01/04/13,26067,54.3%,4992,52.5%,8336,56.3%,13328,54.9%,14019,53.9%,1.0pp
Lizard Blades,R,R,4399,01/01/65,2437,01/01/63,12059,54.1%,2225,56.2%,3339,56.2%,5564,56.2%,6752,52.4%,3.8pp
Nezumi Bladeblesser,B,C,110952,01/05/85,14927,01/08/57,42879,55.9%,8928,54.4%,16258,56.2%,25186,55.6%,21938,56.0%,-0.5pp
Replication Specialist,U,U,25736,01/03/31,7360,01/03/90,29058,53.7%,5417,52.8%,11006,56.1%,16423,55.0%,14469,52.2%,2.8pp
Containment Construct,,U,42265,01/04/96,8607,01/06/56,24915,54.8%,5123,53.9%,9494,56.1%,14617,55.3%,12354,54.5%,0.8pp
Ironhoof Boar,R,C,112492,06/12/22,17465,01/08/52,52350,54.8%,10573,52.9%,17109,55.9%,27682,54.8%,27346,54.6%,0.2pp
Mnemonic Sphere,U,C,119301,01/06/80,16829,01/09/68,35387,53.8%,7206,51.7%,12695,55.9%,19901,54.4%,17467,53.6%,0.8pp
Jukai Trainee,G,C,116727,01/06/60,18809,09/10/22,48564,55.6%,11700,57.0%,19574,55.9%,31274,56.3%,24075,54.9%,1.3pp
Armguard Familiar,U,C,111359,01/05/92,16578,01/08/39,48122,53.8%,10706,52.6%,20288,55.8%,30994,54.7%,22386,53.3%,1.4pp
You Are Already Dead,B,C,116395,01/06/68,14013,01/09/90,26464,55.5%,4700,54.1%,8098,55.8%,12798,55.2%,14379,55.8%,-0.6pp
Befriending the Moths,W,C,104721,01/04/81,15856,01/06/77,51234,53.8%,9967,50.0%,18510,55.7%,28477,53.7%,26165,53.9%,-0.2pp
Go-Shintai of Boundless Vigor,G,U,24516,03/06/22,7054,01/03/74,32363,55.0%,6367,55.6%,11772,55.7%,18139,55.7%,16728,53.9%,1.7pp
"Greasefang, Okiba Boss",WB,R,6837,01/02/63,1810,01/02/82,5135,52.4%,895,53.0%,1559,55.6%,2454,54.6%,2853,50.5%,4.1pp
Saiba Trespassers,U,C,123996,01/07/60,15761,01/10/88,20880,53.3%,3566,50.2%,7742,55.6%,11308,53.9%,10558,52.7%,1.2pp
Grafted Growth,G,C,120264,01/07/37,16630,01/10/42,27550,54.1%,5409,53.2%,9336,55.6%,14745,54.7%,14326,53.6%,1.1pp
Blossoming Sands,WG,B,44017,01/06/72,8092,09/07/22,29843,56.6%,5768,59.7%,8100,55.6%,13868,57.3%,16362,56.2%,1.0pp
Planar Incision,U,C,127044,01/08/30,14246,01/11/99,8937,52.2%,1542,49.4%,2934,55.5%,4476,53.4%,4623,51.0%,2.4pp
Reinforced Ronin,R,U,34719,01/04/31,6156,01/05/73,23577,53.9%,4727,52.7%,24869,55.5%,29596,55.1%,12681,54.5%,0.5pp
Mukotai Soulripper,B,R,5540,02/10/22,2196,01/02/15,9870,55.4%,1689,59.5%,2833,55.5%,4522,57.0%,5535,54.4%,2.6pp
When We Were Young,W,U,49036,01/06/67,5037,01/10/21,4621,52.4%,723,48.8%,1359,55.4%,2082,53.1%,2581,52.0%,1.1pp
Jungle Hollow,BG,B,44606,01/06/93,9055,01/09/23,29620,56.2%,5649,57.6%,8220,55.4%,13869,56.3%,16110,56.0%,0.3pp
Ecologist's Terrarium,,C,110695,01/05/46,16955,01/07/89,48518,53.8%,9914,52.7%,14734,55.4%,24648,54.3%,25443,53.6%,0.7pp
Mobilizer Mech,U,U,36212,01/04/72,4383,01/06/78,9282,50.9%,1895,50.7%,3382,55.4%,5277,53.7%,4647,48.6%,5.1pp
