Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Jugan Defends the Temple,G,M,1703,01/01/32,1407,01/01/29,8105,60.8%,1477,72.8%,2769,68.4%,4246,69.9%,4232,52.7%,17.2pp
The Kami War,WUBRG,M,3672,01/02/74,1355,01/02/79,4319,55.2%,739,61.7%,1668,67.7%,2407,65.9%,2073,44.8%,21.1pp
The Wandering Emperor,W,M,1549,01/10/22,1314,01/09/22,6962,59.1%,1216,68.1%,2013,67.2%,3229,67.5%,3786,52.0%,15.5pp
Farewell,W,R,4887,01/01/83,2344,01/01/79,10513,58.6%,1745,61.5%,3208,66.6%,4953,64.8%,5649,53.5%,11.3pp
Blossom Prancer,G,U,23001,01/02/86,10338,01/03/15,48855,58.5%,9581,63.1%,19357,66.5%,28938,65.4%,25509,53.3%,12.1pp
Inventive Iteration,U,R,4538,01/01/68,3095,01/01/63,16592,59.2%,2808,65.8%,5915,66.3%,8723,66.1%,8567,53.1%,13.1pp
Invoke the Ancients,G,R,5696,01/02/15,2934,01/02/15,14774,59.0%,2447,64.9%,4264,66.3%,6711,65.8%,8282,54.0%,11.8pp
"Tameshi, Reality Architect",WU,R,5214,01/01/98,3045,01/01/92,14428,57.3%,2520,59.0%,5001,66.1%,7521,63.7%,7448,51.5%,12.2pp
"Kura, the Boundless Sky",G,M,1692,01/01/25,1400,01/01/24,7379,57.7%,1246,60.8%,2549,65.4%,3795,63.9%,4045,52.9%,11.0pp
Kappa Tech-Wrecker,G,U,23801,01/02/95,10206,01/03/26,48162,58.7%,10165,66.5%,20044,65.2%,30209,65.6%,24647,53.9%,11.7pp
Behold the Unspeakable,U,U,28190,01/02/65,13359,01/02/85,57079,57.5%,11346,59.9%,24713,65.2%,36059,63.5%,27282,52.5%,11.0pp
"Junji, the Midnight Sky",B,M,1493,01/01/16,1319,01/01/15,7370,58.1%,1202,62.6%,2419,65.2%,3621,64.3%,4052,52.9%,11.4pp
Biting-Palm Ninja,B,R,4170,01/01/56,2830,01/01/56,15020,58.5%,2713,64.8%,5033,64.7%,7746,64.7%,8300,54.6%,10.1pp
"Shigeki, Jukai Visionary",G,R,5311,01/01/96,3067,01/01/97,15359,57.1%,2855,61.1%,10726,64.7%,13581,63.9%,8151,53.1%,10.8pp
The Reality Chip,U,R,4575,01/01/71,3071,01/01/69,15931,57.8%,2815,61.5%,5457,64.6%,8272,63.5%,8289,52.7%,10.8pp
"Ao, the Dawn Sky",W,M,1630,01/12/22,1401,01/11/22,7435,57.4%,1307,61.8%,2410,64.5%,3717,63.6%,4029,51.9%,11.6pp
Fable of the Mirror-Breaker,R,R,4349,01/01/65,3047,01/01/61,16077,58.8%,2978,73.1%,4558,64.5%,7536,67.9%,8877,51.7%,16.2pp
Life of Toshiro Umezawa,B,U,32295,01/02/87,13445,01/03/24,61587,58.8%,12850,65.0%,23235,64.2%,36085,64.5%,31255,54.2%,10.3pp
Reckoner Bankbuster,,R,3242,01/01/19,2796,01/01/19,16378,57.9%,3063,63.5%,4846,64.1%,7909,63.8%,8774,53.2%,10.6pp
"Kairi, the Swirling Sky",U,M,1772,01/01/24,1451,01/01/21,7342,56.0%,1210,60.1%,2545,64.0%,3755,62.8%,3784,49.7%,13.1pp
Boseiju Reaches Skyward,G,U,32198,01/02/98,12550,01/03/28,58070,58.1%,11807,63.0%,22702,63.6%,34509,63.4%,28633,53.1%,10.3pp
"Tatsunari, Toad Rider",UBG,R,3773,01/01/43,2884,01/01/42,15548,58.6%,2691,65.6%,5285,63.4%,7976,64.1%,8489,53.7%,10.4pp
Circuit Mender,,U,23115,01/02/68,9304,01/03/21,49989,57.8%,9821,60.2%,18789,63.2%,28610,62.2%,26253,55.2%,7.0pp
Gloomshrieker,BG,U,32971,01/04/15,10073,01/04/82,34748,56.4%,7522,55.5%,16728,63.2%,24250,60.8%,16702,54.0%,6.8pp
Soul Transfer,B,R,4401,01/01/64,2821,01/01/61,14537,57.4%,2532,56.4%,4230,63.0%,6762,60.5%,7948,55.0%,5.5pp
Imperial Oath,W,C,117369,01/06/74,22566,01/08/68,55578,57.0%,11747,58.4%,22436,63.0%,34183,61.4%,26650,53.1%,8.3pp
"Tamiyo, Compleated Sage",UG,M,1652,01/01/25,1301,01/01/22,6174,54.1%,1078,54.8%,1947,63.0%,3025,60.1%,3242,48.6%,11.5pp
The Long Reach of Night,B,U,34548,01/03/13,11215,01/03/56,48371,57.4%,9516,59.3%,19248,62.9%,28764,61.7%,24461,54.7%,7.0pp
"Kyodai, Soul of Kamigawa",WUBRG,R,3810,01/01/41,2688,01/01/39,14019,56.5%,2464,60.0%,4515,62.9%,6979,61.9%,7550,52.1%,9.7pp
Spring-Leaf Avenger,G,R,4175,01/01/56,2877,01/01/53,15212,57.3%,2551,58.9%,4959,62.8%,7510,61.5%,8346,54.2%,7.3pp
Kaito Shizuki,UB,M,1787,01/01/33,1264,01/01/29,5669,58.1%,966,65.9%,1751,62.6%,2717,63.8%,3025,53.5%,10.3pp
The Restoration of Eiganjo,W,R,4024,01/01/52,2685,01/01/46,13956,58.2%,2565,65.4%,4416,62.5%,6981,63.5%,7402,53.5%,10.1pp
Network Disruptor,U,C,98851,05/12/22,22555,01/06/47,68883,56.0%,18491,59.8%,48952,62.3%,67443,61.6%,28464,52.7%,8.9pp
Spirited Companion,W,C,84381,04/05/22,20294,01/05/19,73149,56.7%,18939,60.1%,37771,62.3%,56710,61.6%,33529,53.1%,8.4pp
Virus Beetle,B,C,94773,01/04/65,23036,01/05/98,84829,57.6%,21036,61.4%,40915,62.3%,61951,62.0%,39902,55.4%,6.6pp
Colossal Skyturtle,UG,U,32731,01/04/16,9055,05/01/22,32582,55.7%,6437,53.5%,16952,62.2%,23389,59.8%,15288,52.7%,7.1pp
