Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Experimental Synthesizer,R,C,139109,6.26,24936,8.26,93948,56.0%,16517,55.5%,22850,57.8%,39367,56.8%,54956,55.4%,1.4pp
Commune with Spirits,G,C,151366,7.68,27652,10.06,84899,56.7%,15325,55.8%,22079,57.5%,37404,56.8%,47728,56.6%,0.2pp
Dismal Backwater,UB,B,52615,6.34,10043,8.64,38366,56.0%,7014,57.7%,10609,56.1%,17623,56.7%,20799,55.3%,1.4pp
Seismic Wave,R,U,38805,3.88,8733,4.84,39167,55.3%,6534,54.8%,9512,58.1%,16046,56.7%,23168,54.4%,2.3pp
Eater of Virtue,,R,4204,1.30,3292,1.29,18998,55.4%,3292,57.2%,5070,56.3%,8362,56.7%,10644,54.4%,2.3pp
Tamiyo's Compleation,U,C,114204,4.67,22817,6.33,105227,55.2%,17399,53.0%,33096,58.6%,50495,56.7%,55270,53.9%,2.7pp
Sokenzan Smelter,R,U,44474,4.55,9575,5.74,41571,55.9%,7373,58.0%,9848,55.6%,17221,56.7%,24475,55.4%,1.2pp
Brilliant Restoration,W,R,11463,3.35,2565,3.99,8494,54.3%,1239,52.5%,2401,58.6%,3640,56.6%,4862,52.7%,3.8pp
Golden-Tail Disciple,W,C,130831,5.42,18920,7.80,78606,55.9%,13811,55.6%,21297,57.1%,35108,56.5%,43885,55.4%,1.1pp
Thousand-Faced Shadow,U,R,6212,1.95,3089,1.97,14478,55.1%,2538,55.8%,4412,56.9%,6950,56.5%,7668,54.0%,2.5pp
Blossoming Sands,WG,B,53563,6.60,10055,8.90,39694,56.2%,7354,59.2%,10156,54.5%,17510,56.5%,22220,56.0%,0.5pp
Rabbit Battery,R,U,36547,3.60,9155,4.45,46424,55.4%,8211,59.0%,10958,54.4%,19169,56.4%,27409,54.8%,1.6pp
"Otawara, Soaring City",U,R,8463,2.46,3053,2.70,13961,55.1%,2451,54.4%,4112,57.6%,6563,56.4%,7434,54.0%,2.4pp
Tranquil Cove,WU,B,53924,6.82,9490,9.32,30164,55.1%,5462,56.4%,8313,56.3%,13775,56.3%,16428,54.2%,2.2pp
Ogre-Head Helm,R,R,6508,1.93,3177,1.94,15865,55.0%,2828,56.9%,3875,55.8%,6703,56.3%,9194,54.0%,2.2pp
Voltage Surge,R,C,109184,4.54,23020,5.87,108630,55.6%,19232,55.7%,26495,56.6%,45727,56.3%,63483,55.1%,1.2pp
"Takenuma, Abandoned Mire",B,R,9398,2.62,3175,2.97,15409,56.6%,2667,55.2%,4137,56.9%,6804,56.2%,8633,56.9%,-0.6pp
Mukotai Soulripper,B,R,6960,2.16,2659,2.24,12182,55.2%,2052,58.6%,3142,54.6%,5194,56.2%,7009,54.6%,1.6pp
Go-Shintai of Boundless Vigor,G,U,29840,3.03,8643,3.71,43633,54.7%,7932,55.6%,12301,56.5%,20233,56.2%,23580,53.5%,2.7pp
Intercessor's Arrest,W,C,85427,3.34,19637,4.37,100661,55.0%,17131,53.1%,29475,57.8%,46606,56.1%,54507,54.2%,1.9pp
Jukai Trainee,G,C,142945,6.55,22988,9.07,79624,55.5%,14519,56.8%,19998,55.6%,34517,56.1%,45599,55.1%,0.9pp
Repel the Vile,W,C,130504,5.53,15156,8.32,49072,54.6%,7940,53.5%,13177,57.6%,21117,56.0%,28035,53.5%,2.5pp
Jungle Hollow,BG,B,54289,6.78,11389,9.01,40762,55.9%,7477,56.7%,10496,55.4%,17973,56.0%,22833,55.8%,0.1pp
Boon of Boseiju,G,U,59306,6.56,7627,9.68,12322,53.9%,1879,52.8%,3081,57.9%,4960,55.9%,7374,52.5%,3.4pp
Bearer of Memory,G,C,143900,6.51,21432,9.33,73446,55.8%,12691,53.9%,19471,57.2%,32162,55.9%,41641,55.7%,0.2pp
Born to Drive,W,U,45706,4.68,5586,6.80,15910,52.9%,2619,53.7%,4304,57.2%,6923,55.9%,9018,50.7%,5.1pp
Favor of Jukai,G,C,154792,7.92,19091,11.42,18621,54.6%,2866,54.5%,5000,56.6%,7866,55.8%,10806,53.7%,2.1pp
Shrine Steward,,C,156063,7.74,22080,10.81,29884,54.8%,4591,53.3%,8417,57.2%,13008,55.8%,16958,54.1%,1.7pp
Sky-Blessed Samurai,W,U,36592,3.64,7792,4.68,37273,54.8%,5981,52.6%,10599,57.6%,16580,55.8%,20852,54.0%,1.8pp
Return to Action,B,C,153783,7.73,19785,11.15,25383,55.2%,3980,53.2%,6682,57.3%,10662,55.8%,14770,54.9%,0.9pp
Greater Tanuki,G,C,110771,4.48,25393,5.94,128855,55.3%,22418,52.6%,36777,57.6%,59195,55.7%,70697,55.0%,0.8pp
"Naomi, Pillar of Order",WB,U,40811,4.23,7906,5.55,27619,54.0%,4323,53.8%,7700,56.6%,12023,55.6%,15706,52.9%,2.7pp
Wanderer's Intervention,W,C,115955,4.67,14597,6.86,61643,54.4%,10544,53.3%,16668,57.1%,27212,55.6%,34615,53.4%,2.3pp
Nezumi Bladeblesser,B,C,136912,5.87,18416,8.62,64335,55.7%,10995,54.5%,16876,56.3%,27871,55.6%,36843,55.9%,-0.3pp
Skyswimmer Koi,U,C,129457,5.50,20535,7.72,75857,54.1%,12792,53.4%,22663,56.7%,35455,55.5%,40895,53.0%,2.5pp
Scoured Barrens,WB,B,53697,6.54,9560,8.98,32594,55.4%,5964,56.8%,8363,54.4%,14327,55.4%,18288,55.4%,0.0pp
Moonfolk Puzzlemaker,U,C,135798,5.89,19912,8.42,72891,54.4%,12721,53.2%,21763,56.7%,34484,55.4%,39050,53.5%,1.9pp
Towashi Guide-Bot,,U,38002,3.53,8359,4.69,39576,54.4%,6561,53.3%,10643,56.7%,17204,55.4%,22461,53.7%,1.7pp
Mothrider Patrol,W,C,134628,5.68,19132,8.03,70864,54.5%,12690,55.5%,18427,55.3%,31117,55.4%,40204,53.9%,1.5pp
Ninja's Kunai,,C,138854,5.63,24446,8.03,93785,55.1%,16016,54.0%,25052,56.2%,41068,55.3%,52914,55.0%,0.4pp
Sunblade Samurai,W,C,120374,4.76,20684,6.65,96515,54.8%,17034,52.7%,26859,56.9%,43893,55.3%,53198,54.3%,1.0pp
Containment Construct,,U,51064,4.87,10668,6.42,36599,54.7%,6578,53.9%,10606,56.0%,17184,55.2%,19593,54.4%,0.8pp
Mirrorshell Crab,U,C,135786,5.95,19674,8.60,62187,53.7%,10004,52.0%,19124,56.8%,29128,55.2%,33337,52.5%,2.7pp
You Are Already Dead,B,C,143593,6.71,17535,9.94,37205,55.2%,5863,54.4%,9836,55.6%,15699,55.1%,21589,55.2%,-0.0pp
Go-Shintai of Hidden Cruelty,B,U,36866,3.71,8280,4.80,30337,53.9%,5001,52.3%,8880,56.7%,13881,55.1%,16568,52.9%,2.2pp
Disruption Protocol,U,C,151353,7.70,17554,11.19,22262,53.6%,3555,51.6%,6672,56.9%,10227,55.1%,12095,52.2%,2.8pp
Essence Capture,U,U,55572,6.20,6998,9.09,13278,53.6%,2217,53.2%,3874,56.1%,6091,55.1%,7202,52.4%,2.7pp
Careful Cultivation,G,C,139890,6.26,23719,8.58,80157,55.3%,14028,54.8%,21257,55.2%,35285,55.1%,45280,55.5%,-0.5pp
Blade-Blizzard Kitsune,W,U,36530,3.61,6684,4.77,28814,54.1%,5062,54.2%,7475,55.6%,12537,55.0%,16364,53.4%,1.6pp
Ironhoof Boar,R,C,138052,6.12,20847,8.55,76918,54.8%,12549,52.7%,18644,56.6%,31193,55.0%,45950,54.6%,0.4pp
Dokuchi Silencer,B,U,35273,3.51,7832,4.49,36321,55.0%,6414,54.5%,9603,55.4%,16017,55.0%,20469,55.0%,-0.0pp
Iron Apprentice,,C,140372,5.78,18514,8.46,64720,54.5%,11815,56.1%,15694,54.1%,27509,55.0%,37548,54.2%,0.7pp
Go-Shintai of Lost Wisdom,U,U,50977,5.35,7812,7.69,18557,52.9%,3320,52.5%,5738,56.4%,9058,54.9%,9629,51.1%,3.8pp
Replication Specialist,U,U,31585,3.31,8934,3.91,39582,53.3%,6521,52.0%,11666,56.6%,18187,54.9%,21565,51.9%,3.1pp
"Greasefang, Okiba Boss",WB,R,8605,2.69,2207,2.94,6392,52.6%,1088,53.4%,1676,55.9%,2764,54.9%,3644,50.8%,4.1pp
Kami of Restless Shadows,B,C,151695,7.55,18726,10.87,23686,54.7%,3604,52.2%,6563,56.4%,10167,54.9%,13625,54.7%,0.1pp
Grafted Growth,G,C,147547,7.30,20836,10.30,42167,54.0%,7300,53.1%,11636,55.9%,18936,54.8%,23413,53.3%,1.5pp
Debt to the Kami,B,C,143492,6.87,13796,10.70,16490,54.1%,2673,53.3%,4376,55.7%,7049,54.8%,9459,53.6%,1.2pp
Thirst for Knowledge,U,U,46859,4.80,9189,6.31,34272,54.1%,5865,51.2%,10130,56.9%,15995,54.8%,18353,53.4%,1.4pp
Historian's Wisdom,G,U,56346,6.01,7288,8.84,14856,54.8%,2416,53.5%,4085,55.5%,6501,54.8%,8404,54.8%,-0.0pp
March of Swirling Mist,U,R,13847,3.96,2565,5.12,6607,53.7%,951,49.5%,1899,57.3%,2850,54.7%,3765,52.9%,1.8pp
Towashi Songshaper,R,C,143169,6.74,21921,9.09,83212,55.4%,14858,56.1%,19847,53.7%,34705,54.7%,49022,56.0%,-1.2pp
Uncharted Haven,,C,134283,5.27,29382,7.28,151681,55.4%,28054,55.8%,39743,53.9%,67797,54.7%,84325,56.0%,-1.3pp
Regent's Authority,W,C,154705,7.83,16135,11.50,14673,54.2%,2299,54.8%,3743,54.6%,6042,54.7%,8652,53.8%,0.9pp
"Norika Yamazaki, the Poet",W,U,33588,3.27,7142,4.20,34077,54.1%,6037,52.4%,8951,56.2%,14988,54.7%,19188,53.8%,0.9pp
"Hinata, Dawn-Crowned",WUR,R,10288,3.15,2139,3.69,4170,50.6%,715,54.4%,1232,54.8%,1947,54.6%,2249,47.0%,7.6pp
Hotshot Mechanic,W,U,48708,5.11,5836,7.50,17017,53.8%,3071,57.3%,4383,52.7%,7454,54.6%,9657,53.2%,1.4pp
Simian Sling,R,C,137512,6.14,21457,8.35,85634,54.9%,15192,55.3%,20136,53.9%,35328,54.5%,50753,55.2%,-0.7pp
Webspinner Cuff,G,U,49603,4.92,8783,6.74,34547,54.2%,5941,52.7%,9049,55.6%,14990,54.4%,19689,54.1%,0.4pp
Kaito's Pursuit,B,C,155461,8.27,17366,12.06,10119,54.7%,1698,52.2%,2714,55.7%,4412,54.4%,5724,54.8%,-0.5pp
