Name,Color,Rarity,# GIH,GIH WR
Sky-Blessed Samurai,W,U,21099,55.8%
Boon of Boseiju,G,U,6141,55.8%
Return to Action,B,C,14154,55.8%
Jukai Trainee,G,C,43713,55.8%
Favor of Jukai,G,C,9946,55.8%
Bearer of Memory,G,C,42301,55.7%
Nezumi Bladeblesser,B,C,36439,55.7%
Wanderer's Intervention,W,C,34860,55.6%
Skyswimmer Koi,U,C,45570,55.6%
Born to Drive,W,U,9036,55.5%
Greater Tanuki,G,C,75561,55.5%
Moonfolk Puzzlemaker,U,C,44732,55.5%
Mirrorshell Crab,U,C,38300,55.4%
Disruption Protocol,U,C,12715,55.4%
Ninja's Kunai,,C,53610,55.3%
Kami of Restless Shadows,B,C,12527,55.3%
Scoured Barrens,WB,B,19840,55.3%
"Naomi, Pillar of Order",WB,U,16322,55.3%
Blade-Blizzard Kitsune,W,U,15665,55.2%
You Are Already Dead,B,C,21288,55.2%
Mothrider Patrol,W,C,38175,55.1%
Towashi Guide-Bot,,U,22995,55.1%
Sunblade Samurai,W,C,57959,55.1%
Ironhoof Boar,R,C,39454,55.1%
Essence Capture,U,U,7204,55.0%
Containment Construct,,U,24291,55.0%
Network Terminal,,C,31453,55.0%
Replication Specialist,U,U,23153,55.0%
"Greasefang, Okiba Boss",WB,R,3676,54.9%
Iron Apprentice,,C,36808,54.9%
Go-Shintai of Lost Wisdom,U,U,12457,54.9%
Planar Incision,U,C,7679,54.9%
Towashi Songshaper,R,C,45050,54.9%
"Hinata, Dawn-Crowned",WUR,R,2524,54.8%
Thirst for Knowledge,U,U,19844,54.8%
Uncharted Haven,,C,90439,54.8%
Go-Shintai of Hidden Cruelty,B,U,18519,54.8%
Hotshot Mechanic,W,U,9333,54.7%
Careful Cultivation,G,C,44807,54.7%
Kaito's Pursuit,B,C,5510,54.7%
Debt to the Kami,B,C,8635,54.7%
"Norika Yamazaki, the Poet",W,U,19129,54.7%
March of Swirling Mist,U,R,3793,54.7%
Simian Sling,R,C,45921,54.7%
Dokuchi Silencer,B,U,19637,54.6%
Grafted Growth,G,C,29228,54.6%
Brute Suit,,C,19459,54.6%
"Nashi, Moon Sage's Scion",B,M,4314,54.6%
Regent's Authority,W,C,7237,54.5%
Flame Discharge,R,U,20756,54.4%
Webspinner Cuff,G,U,18871,54.3%
Armguard Familiar,U,C,42264,54.3%
"Sokenzan, Crucible of Defiance",R,R,6116,54.2%
Historian's Wisdom,G,U,8328,54.2%
Papercraft Decoy,,C,38510,54.2%
Mnemonic Sphere,U,C,28391,54.2%
Bloodfell Caves,BR,B,16438,54.1%
Bronzeplate Boar,R,U,19985,54.1%
Saiba Trespassers,U,C,14942,54.0%
Ecologist's Terrarium,,C,43003,54.0%
Unstoppable Ogre,R,C,29314,53.9%
Short Circuit,U,C,5166,53.9%
Rugged Highlands,RG,B,12271,53.9%
Covert Technician,U,U,16255,53.9%
Swiftwater Cliffs,UR,B,14747,53.7%
When We Were Young,W,U,3066,53.7%
Scrap Welder,R,R,5382,53.7%
"Risona, Asari Commander",WR,R,3300,53.7%
Befriending the Moths,W,C,41440,53.6%
Imperial Recovery Unit,W,U,10770,53.5%
Wind-Scarred Crag,WR,B,12394,53.5%
Spirit-Sister's Call,WB,M,2489,53.5%
Walking Skyscraper,,U,11354,53.5%
Moonsnare Prototype,U,C,11365,53.4%
Roaring Earth,G,U,20381,53.4%
Eiganjo Exemplar,W,C,37461,53.4%
Reckoner's Bargain,B,C,11362,53.2%
Invigorating Hot Spring,RG,U,11169,53.2%
Acquisition Octopus,U,U,20096,53.2%
Upriser Renegade,R,U,9736,53.2%
Lucky Offering,W,C,2314,53.2%
Kami of Industry,R,C,11212,53.1%
Futurist Operative,U,U,6519,53.1%
Unforgiving One,B,U,9102,53.1%
Storyweave,G,U,5299,53.0%
Mobilizer Mech,U,U,7295,53.0%
Explosive Singularity,R,M,2980,52.9%
Light the Way,W,C,4910,52.9%
Explosive Entry,R,C,8768,52.9%
Chainflail Centipede,B,C,31722,52.8%
The Shattered States Era,R,C,5985,52.8%
Scrapyard Steelbreaker,R,C,27759,52.7%
Reinforced Ronin,R,U,16724,52.7%
"Satsuki, the Living Lore",WG,R,4133,52.6%
The Dragon-Kami Reborn,G,R,2082,52.6%
Seven-Tail Mentor,W,C,17274,52.6%
Okiba Salvage,B,U,5856,52.6%
