Name,Color,Rarity,# GIH,GIH WR
Jugan Defends the Temple,G,M,4976,69.1%
Fable of the Mirror-Breaker,R,R,9175,67.3%
The Wandering Emperor,W,M,4035,67.3%
Inventive Iteration,U,R,10190,65.7%
Invoke the Ancients,G,R,8495,65.4%
Farewell,W,R,6386,65.4%
"Tatsunari, Toad Rider",UBG,R,9184,64.9%
"Junji, the Midnight Sky",B,M,4174,64.9%
Blossom Prancer,G,U,32895,64.4%
Kappa Tech-Wrecker,G,U,32474,64.1%
"Ao, the Dawn Sky",W,M,4325,63.9%
The Kami War,WUBRG,M,3038,63.9%
Life of Toshiro Umezawa,B,U,42571,63.7%
Reckoner Bankbuster,,R,9492,63.5%
"Kura, the Boundless Sky",G,M,4164,63.2%
The Reality Chip,U,R,9873,63.2%
"Tameshi, Reality Architect",WU,R,9037,63.1%
Kami of Transience,G,R,8790,63.0%
Boseiju Reaches Skyward,G,U,41599,63.0%
The Restoration of Eiganjo,W,R,8296,63.0%
"Kairi, the Swirling Sky",U,M,4334,62.8%
Teachings of the Kirin,G,R,8066,62.7%
Kaito Shizuki,UB,M,3376,62.6%
Behold the Unspeakable,U,U,42404,62.6%
Biting-Palm Ninja,B,R,8647,62.6%
"Shigeki, Jukai Visionary",G,R,9550,61.7%
"Kyodai, Soul of Kamigawa",WUBRG,R,8164,61.6%
Surgehacker Mech,,R,7360,61.4%
Imperial Oath,W,C,47643,61.3%
Jukai Naturalist,WG,U,19857,61.0%
Okiba Reckoner Raid,B,C,82439,60.9%
Blade of the Oni,B,M,4403,60.9%
Spring-Leaf Avenger,G,R,8837,60.6%
Circuit Mender,,U,31595,60.5%
Generous Visitor,G,U,27514,60.4%
Thundering Raiju,R,R,6662,60.4%
Soul Transfer,B,R,8407,60.3%
"Atsushi, the Blazing Sky",R,M,3346,60.3%
Michiko's Reign of Truth,W,U,32222,60.1%
The Long Reach of Night,B,U,33896,60.1%
Spirited Companion,W,C,61639,60.1%
Twinshot Sniper,R,U,24997,60.1%
Silver-Fur Master,UB,U,17030,60.0%
Weaver of Harmony,G,R,8747,59.8%
Oni-Cult Anvil,BR,U,17866,59.8%
Touch the Spirit Realm,W,U,22973,59.8%
Virus Beetle,B,C,68721,59.7%
Spinning Wheel Kick,G,U,20614,59.5%
The Modern Age,U,C,67480,59.5%
"Jin-Gitaxias, Progress Tyrant",U,M,3616,59.4%
"Tamiyo, Compleated Sage",UG,M,3760,59.4%
Twisted Embrace,B,C,63202,59.4%
Banishing Slash,W,U,18641,59.2%
Invoke Despair,B,R,5256,59.2%
"Raiyuu, Storm's Edge",WR,R,3711,59.1%
"Kotose, the Silent Spider",UB,R,7135,59.0%
Azusa's Many Journeys,G,U,30775,59.0%
