Name,Color,Rarity,# GIH,GIH WR
Mindlink Mech,U,R,7219,59.0%
Enthusiastic Mechanaut,UR,U,12664,58.9%
Suit Up,U,C,14784,58.9%
Kumano Faces Kakkazan,R,U,22593,58.9%
Tribute to Horobi,B,R,8711,58.9%
March of Wretched Sorrow,B,R,8398,58.8%
Gloomshrieker,BG,U,26301,58.8%
Moon-Circuit Hacker,U,C,58389,58.8%
Network Disruptor,U,C,61594,58.7%
Gravelighter,B,U,20878,58.7%
Colossal Skyturtle,UG,U,24723,58.7%
Patchwork Automaton,,U,19035,58.5%
Invoke the Winds,U,R,6511,58.5%
Nezumi Prowler,B,U,22777,58.5%
"Boseiju, Who Endures",G,R,7617,58.4%
Assassin's Ink,B,U,22770,58.4%
Dockside Chef,B,U,23082,58.3%
Lion Sash,W,R,7520,58.3%
Selfless Samurai,W,U,17030,58.3%
Satoru Umezawa,UB,R,5836,58.2%
Prosperous Thief,U,U,20663,58.2%
Tamiyo's Safekeeping,G,C,20351,58.2%
Fang of Shigeki,G,C,65226,58.1%
Moonsnare Specialist,U,C,64393,58.1%
Tales of Master Seshiro,G,C,63699,58.0%
Master's Rebuke,G,C,56670,58.0%
Roadside Reliquary,,U,17277,58.0%
Jukai Preserver,G,C,63947,58.0%
Harmonious Emergence,G,C,26478,57.9%
Invoke Justice,W,R,3976,57.9%
The Fall of Lord Konda,W,U,25647,57.9%
Kami of Terrible Secrets,B,C,39892,57.9%
"Hidetsugu, Devouring Chaos",BR,R,7641,57.8%
Kodama of the West Tree,G,M,3494,57.7%
Bamboo Grove Archer,G,C,42272,57.7%
"Tezzeret, Betrayer of Flesh",U,M,3162,57.7%
Mukotai Ambusher,B,C,43208,57.6%
"Goro-Goro, Disciple of Ryusei",R,R,6111,57.6%
Clawing Torment,B,C,23326,57.6%
Prodigy's Prototype,WU,U,9171,57.6%
"Eiganjo, Seat of the Empire",W,R,6532,57.5%
March of Otherworldly Light,W,R,6753,57.5%
Cloudsteel Kirin,W,R,7026,57.5%
Fade into Antiquity,G,C,55864,57.4%
Searchlight Companion,,C,50590,57.4%
Dokuchi Shadow-Walker,B,C,31042,57.4%
Season of Renewal,G,C,49546,57.2%
Kami's Flare,R,C,48248,57.0%
Lethal Exploit,B,C,50970,57.0%
Geothermal Kami,G,C,54572,57.0%
Go-Shintai of Shared Purpose,W,U,16007,56.9%
Thornwood Falls,UG,B,17843,56.9%
Inkrise Infiltrator,B,C,36407,56.9%
Era of Enlightenment,W,C,46480,56.9%
Leech Gauntlet,B,U,21678,56.8%
Experimental Synthesizer,R,C,40612,56.8%
Commune with Spirits,G,C,39064,56.8%
Dismal Backwater,UB,B,18292,56.7%
Lizard Blades,R,R,6512,56.7%
Eater of Virtue,,R,8620,56.7%
High-Speed Hoverbike,,U,18315,56.7%
Tamiyo's Compleation,U,C,52061,56.6%
Sokenzan Smelter,R,U,17644,56.6%
Seismic Wave,R,U,16496,56.6%
Golden-Tail Disciple,W,C,36163,56.5%
Thousand-Faced Shadow,U,R,7054,56.4%
Blossoming Sands,WG,B,18216,56.4%
Mukotai Soulripper,B,R,5400,56.4%
Rabbit Battery,R,U,19595,56.3%
"Otawara, Soaring City",U,R,6768,56.3%
Ogre-Head Helm,R,R,6857,56.3%
Brilliant Restoration,W,R,3783,56.3%
Tranquil Cove,WU,B,14348,56.2%
Voltage Surge,R,C,46871,56.2%
Go-Shintai of Boundless Vigor,G,U,20767,56.1%
Intercessor's Arrest,W,C,48068,56.1%
"Takenuma, Abandoned Mire",B,R,7019,56.1%
Repel the Vile,W,C,21767,56.0%
Jungle Hollow,BG,B,18633,56.0%
Jukai Trainee,G,C,35381,56.0%
Boon of Boseiju,G,U,5086,55.9%
Return to Action,B,C,11020,55.9%
Favor of Jukai,G,C,8084,55.9%
Bearer of Memory,G,C,33109,55.9%
Shrine Steward,,C,13638,55.9%
Sky-Blessed Samurai,W,U,17024,55.9%
Born to Drive,W,U,7157,55.8%
Nezumi Bladeblesser,B,C,28652,55.7%
Greater Tanuki,G,C,60730,55.7%
Wanderer's Intervention,W,C,28050,55.6%
Skyswimmer Koi,U,C,36419,55.5%
"Naomi, Pillar of Order",WB,U,12465,55.5%
Mirrorshell Crab,U,C,30043,55.4%
Towashi Guide-Bot,,U,17822,55.3%
Ninja's Kunai,,C,42336,55.3%
Moonfolk Puzzlemaker,U,C,35249,55.3%
Sunblade Samurai,W,C,45161,55.2%
Scoured Barrens,WB,B,14992,55.2%
March of Swirling Mist,U,R,2938,55.2%
Disruption Protocol,U,C,10465,55.2%
Mothrider Patrol,W,C,31638,55.2%
Go-Shintai of Hidden Cruelty,B,U,14390,55.1%
You Are Already Dead,B,C,16227,55.1%
Blade-Blizzard Kitsune,W,U,12872,55.1%
Containment Construct,,U,17764,55.0%
Replication Specialist,U,U,18696,55.0%
Essence Capture,U,U,6193,54.9%
Kami of Restless Shadows,B,C,10422,54.9%
Dokuchi Silencer,B,U,16376,54.9%
Iron Apprentice,,C,28192,54.9%
Ironhoof Boar,R,C,31933,54.9%
Careful Cultivation,G,C,36233,54.9%
Go-Shintai of Lost Wisdom,U,U,9326,54.8%
Grafted Growth,G,C,19940,54.7%
Uncharted Haven,,C,70381,54.7%
"Greasefang, Okiba Boss",WB,R,2836,54.7%
Debt to the Kami,B,C,7229,54.7%
Thirst for Knowledge,U,U,16461,54.7%
Historian's Wisdom,G,U,6668,54.7%
Towashi Songshaper,R,C,35673,54.7%
"Hinata, Dawn-Crowned",WUR,R,1984,54.6%
"Norika Yamazaki, the Poet",W,U,15329,54.5%
Regent's Authority,W,C,6162,54.5%
Hotshot Mechanic,W,U,7611,54.5%
Kaito's Pursuit,B,C,4544,54.4%
Network Terminal,,C,20969,54.4%
Simian Sling,R,C,36317,54.4%
Armguard Familiar,U,C,34618,54.3%
"Nashi, Moon Sage's Scion",B,M,3452,54.3%
Webspinner Cuff,G,U,15373,54.3%
Flame Discharge,R,U,17070,54.2%
Brute Suit,,C,14758,54.2%
Mnemonic Sphere,U,C,23372,54.2%
Ecologist's Terrarium,,C,32090,54.1%
"Sokenzan, Crucible of Defiance",R,R,4901,54.1%
Saiba Trespassers,U,C,12630,54.1%
Bronzeplate Boar,R,U,16449,54.1%
Short Circuit,U,C,4485,54.0%
Covert Technician,U,U,13021,54.0%
When We Were Young,W,U,2366,53.9%
Planar Incision,U,C,5799,53.9%
Papercraft Decoy,,C,29010,53.8%
Bloodfell Caves,BR,B,12882,53.8%
Scrap Welder,R,R,4371,53.8%
"Risona, Asari Commander",WR,R,2780,53.8%
Befriending the Moths,W,C,33672,53.7%
Rugged Highlands,RG,B,9614,53.7%
Unstoppable Ogre,R,C,22488,53.7%
Moonsnare Prototype,U,C,9910,53.6%
Swiftwater Cliffs,UR,B,11470,53.6%
Roaring Earth,G,U,17032,53.5%
Invigorating Hot Spring,RG,U,9383,53.5%
Acquisition Octopus,U,U,16513,53.4%
Unforgiving One,B,U,7478,53.4%
Reckoner's Bargain,B,C,9591,53.3%
Walking Skyscraper,,U,9339,53.3%
Imperial Recovery Unit,W,U,8376,53.3%
Kami of Industry,R,C,9379,53.3%
Eiganjo Exemplar,W,C,30936,53.2%
Wind-Scarred Crag,WR,B,9840,53.2%
Chainflail Centipede,B,C,25340,53.1%
Storyweave,G,U,4550,53.0%
Upriser Renegade,R,U,8205,53.0%
Explosive Singularity,R,M,2445,52.9%
Explosive Entry,R,C,7775,52.9%
Lucky Offering,W,C,1924,52.9%
Futurist Operative,U,U,5470,52.8%
Scrapyard Steelbreaker,R,C,23571,52.8%
Undercity Scrounger,B,C,30902,52.8%
The Dragon-Kami Reborn,G,R,1741,52.8%
Mobilizer Mech,U,U,5998,52.7%
Seven-Tail Mentor,W,C,14764,52.6%
Runaway Trash-Bot,,U,15730,52.5%
Orochi Merge-Keeper,G,U,15146,52.5%
Coiling Stalker,G,C,23927,52.5%
The Shattered States Era,R,C,4943,52.4%
Okiba Salvage,B,U,4736,52.4%
Spirit-Sister's Call,WB,M,1788,52.4%
Reinforced Ronin,R,U,13386,52.4%
Akki Ember-Keeper,R,C,17775,52.3%
Light the Way,W,C,4117,52.3%
"Satsuki, the Living Lore",WG,R,3373,52.3%
Tempered in Solitude,R,U,8824,52.3%
Kitsune Ace,W,C,10252,52.1%
Asari Captain,WR,U,6914,52.1%
Guardians of Oboro,U,C,7583,52.0%
"Heiko Yamazaki, the General",R,U,12903,52.0%
Peerless Samurai,R,C,14943,51.9%
Dragonfly Suit,W,C,11038,51.8%
Go-Shintai of Ancient Wars,R,U,12378,51.6%
Imperial Subduer,W,C,17962,51.6%
Crackling Emergence,R,C,3044,51.4%
Akki Ronin,R,C,10674,51.3%
Gift of Wrath,R,C,3635,51.2%
"Light-Paws, Emperor's Voice",W,R,1033,51.2%
Malicious Malfunction,B,U,4193,51.0%
Heir of the Ancient Fang,G,C,11819,50.9%
Automated Artificer,,C,11631,50.7%
Ancestral Katana,W,C,11498,50.5%
Spell Pierce,U,C,2099,50.5%
March of Reckless Joy,R,R,2285,50.5%
Mechtitan Core,,R,4209,50.3%
Thundersteel Colossus,,C,7274,49.9%
Ambitious Assault,R,C,4568,49.9%
Dragonspark Reactor,R,U,15978,49.8%
Reito Sentinel,,U,1900,49.7%
Discover the Impossible,U,U,614,49.5%
Awakened Awareness,U,U,2158,49.5%
Kindled Fury,R,C,2743,49.3%
Secluded Courtyard,,U,2561,49.2%
Futurist Sentinel,U,C,5058,49.2%
Dramatist's Puppet,,C,1427,49.1%
Reality Heist,U,U,3906,49.1%
Eiganjo Uprising,WR,R,1694,48.8%
Mech Hangar,,U,2861,48.6%
Enormous Energy Blade,B,U,1438,47.6%
"Isshin, Two Heavens as One",WBR,R,1134,46.9%
Anchor to Reality,U,U,1278,46.9%
Bronze Cudgels,,U,942,46.5%
Reckoner Shakedown,B,C,1013,45.8%
Invoke Calamity,R,R,290,45.5%
Akki War Paint,R,C,1348,45.4%
Hidetsugu Consumes All,BR,M,569,45.2%
Mirror Box,,R,156,
March of Burgeoning Life,G,R,96,
