Name,Color,Rarity,# GIH,GIH WR
Jugan Defends the Temple,G,M,5837,68.5%
Fable of the Mirror-Breaker,R,R,10946,67.4%
The Wandering Emperor,W,M,4678,67.2%
Inventive Iteration,U,R,12143,66.0%
Farewell,W,R,7800,66.0%
Invoke the Ancients,G,R,10011,65.2%
"Tatsunari, Toad Rider",UBG,R,10902,64.8%
Blossom Prancer,G,U,38116,64.3%
The Kami War,WUBRG,M,3719,64.1%
Kappa Tech-Wrecker,G,U,38057,64.1%
"Junji, the Midnight Sky",B,M,4928,64.0%
Reckoner Bankbuster,,R,11294,63.9%
"Ao, the Dawn Sky",W,M,5006,63.7%
Life of Toshiro Umezawa,B,U,50377,63.6%
"Kairi, the Swirling Sky",U,M,5141,63.5%
"Tameshi, Reality Architect",WU,R,10803,63.3%
"Kura, the Boundless Sky",G,M,4946,63.2%
Kaito Shizuki,UB,M,4027,63.2%
The Restoration of Eiganjo,W,R,9695,63.0%
The Reality Chip,U,R,11720,63.0%
Boseiju Reaches Skyward,G,U,48907,62.9%
Teachings of the Kirin,G,R,9576,62.8%
Kami of Transience,G,R,10274,62.8%
Behold the Unspeakable,U,U,49844,62.7%
Biting-Palm Ninja,B,R,10150,62.2%
"Kyodai, Soul of Kamigawa",WUBRG,R,9558,61.7%
"Shigeki, Jukai Visionary",G,R,11383,61.7%
Surgehacker Mech,,R,8843,61.2%
Imperial Oath,W,C,60422,61.1%
Okiba Reckoner Raid,B,C,97812,60.9%
Spring-Leaf Avenger,G,R,10352,60.8%
Circuit Mender,,U,37126,60.6%
Blade of the Oni,B,M,5132,60.6%
Jukai Naturalist,WG,U,23168,60.5%
Thundering Raiju,R,R,7657,60.4%
Generous Visitor,G,U,31621,60.3%
Soul Transfer,B,R,9888,60.3%
Spirited Companion,W,C,72508,60.2%
Twinshot Sniper,R,U,28782,60.2%
"Atsushi, the Blazing Sky",R,M,3880,60.2%
The Long Reach of Night,B,U,40730,60.0%
Silver-Fur Master,UB,U,20114,60.0%
Michiko's Reign of Truth,W,U,38134,60.0%
Touch the Spirit Realm,W,U,26674,59.9%
Weaver of Harmony,G,R,10171,59.8%
Oni-Cult Anvil,BR,U,21055,59.7%
Virus Beetle,B,C,82716,59.6%
Banishing Slash,W,U,21610,59.5%
The Modern Age,U,C,80733,59.5%
"Raiyuu, Storm's Edge",WR,R,4319,59.5%
Suit Up,U,C,20451,59.4%
Spinning Wheel Kick,G,U,24751,59.4%
Twisted Embrace,B,C,74057,59.3%
"Tamiyo, Compleated Sage",UG,M,4393,59.3%
Moon-Circuit Hacker,U,C,68856,59.2%
Kumano Faces Kakkazan,R,U,26531,59.0%
Network Disruptor,U,C,71638,59.0%
Enthusiastic Mechanaut,UR,U,14667,58.9%
Mindlink Mech,U,R,8567,58.9%
"Jin-Gitaxias, Progress Tyrant",U,M,4266,58.9%
Colossal Skyturtle,UG,U,29454,58.9%
Azusa's Many Journeys,G,U,36703,58.9%
Invoke Despair,B,R,6388,58.9%
"Kotose, the Silent Spider",UB,R,8476,58.9%
Gravelighter,B,U,24515,58.8%
Invoke the Winds,U,R,7736,58.7%
Gloomshrieker,BG,U,31050,58.6%
Tamiyo's Safekeeping,G,C,25177,58.5%
Tribute to Horobi,B,R,10205,58.5%
Nezumi Prowler,B,U,26781,58.5%
Patchwork Automaton,,U,22366,58.5%
Assassin's Ink,B,U,26552,58.4%
March of Wretched Sorrow,B,R,9759,58.4%
Lion Sash,W,R,8697,58.4%
Satoru Umezawa,UB,R,6879,58.4%
Selfless Samurai,W,U,19800,58.3%
Dockside Chef,B,U,26902,58.3%
Moonsnare Specialist,U,C,75018,58.3%
Prosperous Thief,U,U,24386,58.2%
Prodigy's Prototype,WU,U,10718,58.2%
The Fall of Lord Konda,W,U,29689,58.2%
"Boseiju, Who Endures",G,R,8942,58.1%
Fang of Shigeki,G,C,76028,58.0%
Master's Rebuke,G,C,65134,58.0%
