Name,Color,Rarity,# GIH,GIH WR
March of Otherworldly Light,W,R,7923,58.0%
Roadside Reliquary,,U,20586,58.0%
Tales of Master Seshiro,G,C,74698,58.0%
Invoke Justice,W,R,4889,57.9%
Clawing Torment,B,C,28723,57.9%
Kami of Terrible Secrets,B,C,48673,57.9%
Bamboo Grove Archer,G,C,50289,57.8%
Jukai Preserver,G,C,73629,57.8%
Harmonious Emergence,G,C,32723,57.8%
Mukotai Ambusher,B,C,51806,57.7%
"Tezzeret, Betrayer of Flesh",U,M,3726,57.5%
Searchlight Companion,,C,61150,57.5%
"Eiganjo, Seat of the Empire",W,R,7623,57.5%
"Goro-Goro, Disciple of Ryusei",R,R,7172,57.5%
Kodama of the West Tree,G,M,4034,57.4%
Cloudsteel Kirin,W,R,8253,57.4%
"Hidetsugu, Devouring Chaos",BR,R,8982,57.3%
Fade into Antiquity,G,C,65797,57.3%
Dokuchi Shadow-Walker,B,C,36194,57.3%
Inkrise Infiltrator,B,C,43100,57.1%
Season of Renewal,G,C,59180,57.1%
Kami's Flare,R,C,54563,57.0%
High-Speed Hoverbike,,U,21885,57.0%
Go-Shintai of Shared Purpose,W,U,19092,57.0%
Era of Enlightenment,W,C,55306,56.9%
Geothermal Kami,G,C,64853,56.9%
Experimental Synthesizer,R,C,47207,56.9%
Dismal Backwater,UB,B,21795,56.9%
Lethal Exploit,B,C,58398,56.9%
Thornwood Falls,UG,B,21214,56.8%
Brilliant Restoration,W,R,4581,56.8%
Eater of Virtue,,R,10135,56.8%
Tamiyo's Compleation,U,C,60285,56.8%
Leech Gauntlet,B,U,25208,56.7%
Commune with Spirits,G,C,47140,56.7%
Sokenzan Smelter,R,U,20353,56.7%
"Otawara, Soaring City",U,R,8001,56.6%
Seismic Wave,R,U,18826,56.6%
Golden-Tail Disciple,W,C,42338,56.5%
Tranquil Cove,WU,B,17298,56.5%
Mukotai Soulripper,B,R,6328,56.4%
Voltage Surge,R,C,52853,56.4%
Lizard Blades,R,R,7498,56.3%
Ogre-Head Helm,R,R,7793,56.3%
Thousand-Faced Shadow,U,R,8199,56.3%
"Takenuma, Abandoned Mire",B,R,8345,56.3%
Blossoming Sands,WG,B,21758,56.2%
Repel the Vile,W,C,26096,56.2%
Rabbit Battery,R,U,22577,56.2%
Go-Shintai of Boundless Vigor,G,U,24246,56.2%
Intercessor's Arrest,W,C,55609,56.1%
Jungle Hollow,BG,B,22221,56.1%
Favor of Jukai,G,C,9317,56.0%
Shrine Steward,,C,17624,56.0%
Boon of Boseiju,G,U,5769,56.0%
Bearer of Memory,G,C,38907,55.9%
Sky-Blessed Samurai,W,U,19558,55.8%
Jukai Trainee,G,C,40551,55.8%
Born to Drive,W,U,8289,55.8%
Return to Action,B,C,12984,55.7%
Wanderer's Intervention,W,C,32348,55.6%
Nezumi Bladeblesser,B,C,33685,55.6%
Skyswimmer Koi,U,C,42221,55.6%
Greater Tanuki,G,C,70281,55.6%
Scoured Barrens,WB,B,18086,55.5%
Moonfolk Puzzlemaker,U,C,41315,55.5%
"Naomi, Pillar of Order",WB,U,14900,55.4%
Disruption Protocol,U,C,11884,55.4%
Mothrider Patrol,W,C,35718,55.4%
Mirrorshell Crab,U,C,35308,55.4%
Ninja's Kunai,,C,49471,55.3%
Kami of Restless Shadows,B,C,11801,55.3%
Towashi Guide-Bot,,U,21136,55.2%
You Are Already Dead,B,C,19400,55.2%
"Greasefang, Okiba Boss",WB,R,3343,55.2%
Sunblade Samurai,W,C,53264,55.1%
Blade-Blizzard Kitsune,W,U,14666,55.1%
Ironhoof Boar,R,C,36619,55.1%
Replication Specialist,U,U,21650,55.0%
Containment Construct,,U,21825,55.0%
Go-Shintai of Lost Wisdom,U,U,11266,55.0%
Essence Capture,U,U,6830,55.0%
Regent's Authority,W,C,6851,55.0%
Iron Apprentice,,C,33454,54.9%
"Hinata, Dawn-Crowned",WUR,R,2348,54.9%
Go-Shintai of Hidden Cruelty,B,U,17119,54.9%
Thirst for Knowledge,U,U,18637,54.9%
March of Swirling Mist,U,R,3455,54.9%
Towashi Songshaper,R,C,41460,54.9%
Uncharted Haven,,C,83110,54.8%
Careful Cultivation,G,C,41682,54.8%
Network Terminal,,C,27389,54.8%
Hotshot Mechanic,W,U,8723,54.7%
"Norika Yamazaki, the Poet",W,U,17661,54.7%
Simian Sling,R,C,42159,54.7%
Grafted Growth,G,C,25685,54.7%
Debt to the Kami,B,C,8155,54.6%
Brute Suit,,C,17712,54.6%
Dokuchi Silencer,B,U,18374,54.6%
Kaito's Pursuit,B,C,5148,54.5%
Planar Incision,U,C,7019,54.5%
Historian's Wisdom,G,U,7711,54.5%
"Nashi, Moon Sage's Scion",B,M,4007,54.4%
Flame Discharge,R,U,19474,54.4%
"Sokenzan, Crucible of Defiance",R,R,5695,54.4%
Webspinner Cuff,G,U,17673,54.3%
Armguard Familiar,U,C,39543,54.3%
Bronzeplate Boar,R,U,18674,54.2%
Papercraft Decoy,,C,34937,54.1%
Mnemonic Sphere,U,C,26696,54.1%
Ecologist's Terrarium,,C,39013,54.1%
Bloodfell Caves,BR,B,15102,54.1%
Saiba Trespassers,U,C,14057,54.0%
Short Circuit,U,C,4917,54.0%
When We Were Young,W,U,2807,54.0%
Rugged Highlands,RG,B,11285,54.0%
Unstoppable Ogre,R,C,26546,53.9%
Scrap Welder,R,R,5014,53.9%
Befriending the Moths,W,C,38631,53.8%
Covert Technician,U,U,15004,53.8%
Swiftwater Cliffs,UR,B,13508,53.7%
"Risona, Asari Commander",WR,R,3074,53.6%
Moonsnare Prototype,U,C,10875,53.6%
Imperial Recovery Unit,W,U,9886,53.5%
Roaring Earth,G,U,19203,53.4%
Acquisition Octopus,U,U,18769,53.4%
Wind-Scarred Crag,WR,B,11423,53.3%
Eiganjo Exemplar,W,C,35011,53.3%
Invigorating Hot Spring,RG,U,10516,53.3%
Walking Skyscraper,,U,10618,53.3%
Upriser Renegade,R,U,9156,53.2%
Reckoner's Bargain,B,C,10664,53.2%
Lucky Offering,W,C,2154,53.2%
Kami of Industry,R,C,10563,53.1%
Spirit-Sister's Call,WB,M,2214,53.1%
Storyweave,G,U,5026,53.0%
Unforgiving One,B,U,8526,53.0%
Futurist Operative,U,U,6169,52.9%
Explosive Entry,R,C,8435,52.9%
Chainflail Centipede,B,C,29403,52.9%
Mobilizer Mech,U,U,6854,52.9%
Explosive Singularity,R,M,2761,52.8%
Light the Way,W,C,4599,52.8%
"Satsuki, the Living Lore",WG,R,3854,52.7%
Okiba Salvage,B,U,5463,52.7%
Scrapyard Steelbreaker,R,C,26285,52.7%
Seven-Tail Mentor,W,C,16307,52.6%
The Shattered States Era,R,C,5570,52.6%
Guardians of Oboro,U,C,8430,52.5%
Undercity Scrounger,B,C,35244,52.5%
Reinforced Ronin,R,U,15504,52.5%
Akki Ember-Keeper,R,C,19894,52.5%
Runaway Trash-Bot,,U,17920,52.4%
Orochi Merge-Keeper,G,U,17027,52.4%
Kitsune Ace,W,C,11519,52.3%
The Dragon-Kami Reborn,G,R,1960,52.2%
Asari Captain,WR,U,7710,52.2%
Coiling Stalker,G,C,26889,52.2%
"Heiko Yamazaki, the General",R,U,14791,52.0%
Tempered in Solitude,R,U,9924,51.9%
Dragonfly Suit,W,C,12260,51.9%
Go-Shintai of Ancient Wars,R,U,14153,51.8%
Imperial Subduer,W,C,20066,51.8%
Peerless Samurai,R,C,16507,51.8%
Gift of Wrath,R,C,4122,51.4%
"Light-Paws, Emperor's Voice",W,R,1168,51.4%
Akki Ronin,R,C,11739,51.2%
Crackling Emergence,R,C,3316,51.0%
March of Reckless Joy,R,R,2571,50.9%
Malicious Malfunction,B,U,4681,50.8%
Spell Pierce,U,C,2476,50.8%
Heir of the Ancient Fang,G,C,12921,50.7%
Automated Artificer,,C,13137,50.6%
Mechtitan Core,,R,4975,50.6%
Ancestral Katana,W,C,12712,50.4%
Ambitious Assault,R,C,5353,50.4%
Reito Sentinel,,U,2270,50.3%
Dragonspark Reactor,R,U,18189,50.2%
Thundersteel Colossus,,C,8253,50.1%
Awakened Awareness,U,U,2332,49.9%
Discover the Impossible,U,U,693,49.5%
Secluded Courtyard,,U,2892,49.5%
Reality Heist,U,U,4338,49.2%
Mech Hangar,,U,3223,49.1%
Futurist Sentinel,U,C,5553,49.1%
Kindled Fury,R,C,3026,49.1%
Dramatist's Puppet,,C,1568,48.9%
Eiganjo Uprising,WR,R,1898,48.6%
Hidetsugu Consumes All,BR,M,681,47.3%
"Isshin, Two Heavens as One",WBR,R,1290,47.1%
Anchor to Reality,U,U,1424,47.1%
Enormous Energy Blade,B,U,1610,46.8%
Bronze Cudgels,,U,1037,46.4%
Reckoner Shakedown,B,C,1118,46.3%
Akki War Paint,R,C,1500,45.7%
Invoke Calamity,R,R,314,44.9%
Mirror Box,,R,175,
March of Burgeoning Life,G,R,108,
