Name,Color,Rarity,# GIH,GIH WR
Jugan Defends the Temple,G,M,6940,68.4%
Fable of the Mirror-Breaker,R,R,12883,67.3%
The Wandering Emperor,W,M,5446,66.8%
Farewell,W,R,9411,66.2%
Inventive Iteration,U,R,14313,66.1%
Invoke the Ancients,G,R,11725,64.8%
"Tatsunari, Toad Rider",UBG,R,12824,64.5%
The Kami War,WUBRG,M,4540,64.1%
Blossom Prancer,G,U,44021,64.0%
Kappa Tech-Wrecker,G,U,44148,63.9%
"Junji, the Midnight Sky",B,M,5774,63.9%
Reckoner Bankbuster,,R,13174,63.7%
"Ao, the Dawn Sky",W,M,5862,63.5%
Life of Toshiro Umezawa,B,U,59093,63.5%
"Kairi, the Swirling Sky",U,M,5958,63.3%
Kaito Shizuki,UB,M,4742,63.1%
"Tameshi, Reality Architect",WU,R,12698,62.9%
The Restoration of Eiganjo,W,R,11385,62.7%
Behold the Unspeakable,U,U,58027,62.7%
Teachings of the Kirin,G,R,11373,62.7%
Boseiju Reaches Skyward,G,U,56834,62.7%
The Reality Chip,U,R,13813,62.6%
"Kura, the Boundless Sky",G,M,5692,62.6%
Kami of Transience,G,R,11930,62.5%
Biting-Palm Ninja,B,R,11790,62.3%
"Shigeki, Jukai Visionary",G,R,13290,61.6%
"Kyodai, Soul of Kamigawa",WUBRG,R,11186,61.4%
Surgehacker Mech,,R,10499,61.1%
Okiba Reckoner Raid,B,C,114772,60.9%
Imperial Oath,W,C,75084,60.7%
Blade of the Oni,B,M,5946,60.6%
Thundering Raiju,R,R,8789,60.6%
Circuit Mender,,U,43322,60.6%
Spring-Leaf Avenger,G,R,12052,60.5%
Jukai Naturalist,WG,U,26955,60.4%
Spirited Companion,W,C,85013,60.2%
Twinshot Sniper,R,U,32736,60.2%
Soul Transfer,B,R,11511,60.1%
Silver-Fur Master,UB,U,23637,60.1%
Generous Visitor,G,U,36343,60.0%
The Long Reach of Night,B,U,47928,59.9%
Touch the Spirit Realm,W,U,30825,59.9%
Michiko's Reign of Truth,W,U,44979,59.8%
"Atsushi, the Blazing Sky",R,M,4593,59.8%
Banishing Slash,W,U,25175,59.7%
Oni-Cult Anvil,BR,U,24522,59.7%
Virus Beetle,B,C,98401,59.6%
Weaver of Harmony,G,R,11701,59.5%
Suit Up,U,C,29110,59.5%
The Modern Age,U,C,96617,59.4%
Kumano Faces Kakkazan,R,U,31066,59.3%
Moon-Circuit Hacker,U,C,81267,59.3%
Spinning Wheel Kick,G,U,29495,59.2%
Twisted Embrace,B,C,86109,59.2%
Mindlink Mech,U,R,10251,59.2%
Network Disruptor,U,C,83228,59.0%
Invoke Despair,B,R,7653,59.0%
Enthusiastic Mechanaut,UR,U,16701,58.9%
"Raiyuu, Storm's Edge",WR,R,4980,58.9%
Gravelighter,B,U,28725,58.8%
"Tamiyo, Compleated Sage",UG,M,5051,58.7%
Colossal Skyturtle,UG,U,34578,58.7%
Azusa's Many Journeys,G,U,43267,58.7%
"Kotose, the Silent Spider",UB,R,9938,58.5%
Gloomshrieker,BG,U,36316,58.5%
Patchwork Automaton,,U,26004,58.5%
Nezumi Prowler,B,U,31171,58.5%
Assassin's Ink,B,U,30558,58.5%
Prodigy's Prototype,WU,U,12494,58.5%
Tribute to Horobi,B,R,11704,58.4%
Invoke the Winds,U,R,9146,58.4%
Dockside Chef,B,U,31003,58.4%
Tamiyo's Safekeeping,G,C,31484,58.4%
"Jin-Gitaxias, Progress Tyrant",U,M,4915,58.3%
March of Wretched Sorrow,B,R,11403,58.3%
Moonsnare Specialist,U,C,86883,58.3%
Prosperous Thief,U,U,28383,58.3%
Selfless Samurai,W,U,22967,58.2%
March of Otherworldly Light,W,R,9270,58.2%
Roadside Reliquary,,U,23991,58.2%
"Boseiju, Who Endures",G,R,10533,58.2%
Satoru Umezawa,UB,R,8101,58.2%
Lion Sash,W,R,9964,58.2%
The Fall of Lord Konda,W,U,34169,58.1%
Clawing Torment,B,C,35399,58.1%
Master's Rebuke,G,C,74575,57.9%
Mukotai Ambusher,B,C,61276,57.8%
Tales of Master Seshiro,G,C,86016,57.8%
Invoke Justice,W,R,5766,57.8%
Fang of Shigeki,G,C,87963,57.8%
Harmonious Emergence,G,C,40240,57.7%
"Tezzeret, Betrayer of Flesh",U,M,4290,57.7%
Kami of Terrible Secrets,B,C,58359,57.7%
Jukai Preserver,G,C,83691,57.7%
Searchlight Companion,,C,73199,57.6%
Brilliant Restoration,W,R,5610,57.6%
"Goro-Goro, Disciple of Ryusei",R,R,8299,57.5%
Bamboo Grove Archer,G,C,60321,57.4%
"Eiganjo, Seat of the Empire",W,R,8817,57.4%
Dokuchi Shadow-Walker,B,C,42067,57.3%
High-Speed Hoverbike,,U,26228,57.3%
Cloudsteel Kirin,W,R,9544,57.3%
"Hidetsugu, Devouring Chaos",BR,R,10541,57.2%
Kodama of the West Tree,G,M,4655,57.2%
Fade into Antiquity,G,C,76926,57.1%
Inkrise Infiltrator,B,C,50846,57.1%
Experimental Synthesizer,R,C,55793,57.0%
Kami's Flare,R,C,61309,57.0%
Sokenzan Smelter,R,U,23629,56.9%
Lethal Exploit,B,C,66074,56.9%
Thornwood Falls,UG,B,25115,56.9%
Dismal Backwater,UB,B,25599,56.9%
Leech Gauntlet,B,U,28736,56.9%
Era of Enlightenment,W,C,65486,56.8%
Season of Renewal,G,C,70027,56.8%
Go-Shintai of Shared Purpose,W,U,22766,56.7%
Geothermal Kami,G,C,76111,56.7%
Tamiyo's Compleation,U,C,69317,56.7%
Seismic Wave,R,U,21303,56.6%
"Otawara, Soaring City",U,R,9367,56.6%
Commune with Spirits,G,C,55954,56.5%
Eater of Virtue,,R,11682,56.5%
Lizard Blades,R,R,8651,56.5%
Tranquil Cove,WU,B,20702,56.5%
Voltage Surge,R,C,59893,56.4%
Mukotai Soulripper,B,R,7320,56.3%
"Takenuma, Abandoned Mire",B,R,9591,56.3%
Golden-Tail Disciple,W,C,49524,56.3%
Rabbit Battery,R,U,25917,56.3%
Repel the Vile,W,C,31417,56.2%
Blossoming Sands,WG,B,25669,56.2%
Ogre-Head Helm,R,R,8929,56.2%
Shrine Steward,,C,22509,56.1%
Thousand-Faced Shadow,U,R,9577,56.1%
Go-Shintai of Boundless Vigor,G,U,27850,56.0%
Favor of Jukai,G,C,10558,56.0%
Intercessor's Arrest,W,C,63930,55.9%
Jungle Hollow,BG,B,26096,55.9%
Boon of Boseiju,G,U,6530,55.8%
Sky-Blessed Samurai,W,U,22538,55.8%
Return to Action,B,C,15357,55.7%
Jukai Trainee,G,C,46529,55.7%
Bearer of Memory,G,C,45243,55.7%
Skyswimmer Koi,U,C,48323,55.7%
"Hinata, Dawn-Crowned",WUR,R,2738,55.6%
Nezumi Bladeblesser,B,C,39042,55.6%
Greater Tanuki,G,C,80151,55.5%
Born to Drive,W,U,9604,55.5%
Moonfolk Puzzlemaker,U,C,47585,55.5%
Mirrorshell Crab,U,C,40568,55.5%
Wanderer's Intervention,W,C,37398,55.4%
Kami of Restless Shadows,B,C,13203,55.4%
Disruption Protocol,U,C,13332,55.4%
Ninja's Kunai,,C,57440,55.3%
"Naomi, Pillar of Order",WB,U,17667,55.2%
Containment Construct,,U,26454,55.2%
You Are Already Dead,B,C,22896,55.2%
Ironhoof Boar,R,C,41907,55.2%
Blade-Blizzard Kitsune,W,U,16586,55.1%
Scoured Barrens,WB,B,21514,55.1%
Mothrider Patrol,W,C,40357,55.1%
Sunblade Samurai,W,C,62304,55.0%
Towashi Guide-Bot,,U,24604,55.0%
Replication Specialist,U,U,24615,55.0%
Essence Capture,U,U,7400,55.0%
Towashi Songshaper,R,C,48607,55.0%
Iron Apprentice,,C,39984,55.0%
Network Terminal,,C,35198,54.9%
"Greasefang, Okiba Boss",WB,R,3939,54.9%
March of Swirling Mist,U,R,4126,54.9%
Kaito's Pursuit,B,C,5838,54.8%
Planar Incision,U,C,8431,54.8%
Dokuchi Silencer,B,U,20848,54.7%
Simian Sling,R,C,49483,54.7%
Go-Shintai of Lost Wisdom,U,U,13508,54.7%
Grafted Growth,G,C,32557,54.7%
Go-Shintai of Hidden Cruelty,B,U,19719,54.7%
Uncharted Haven,,C,97192,54.7%
Careful Cultivation,G,C,47490,54.7%
Hotshot Mechanic,W,U,9921,54.7%
Brute Suit,,C,21244,54.6%
Thirst for Knowledge,U,U,20872,54.6%
