Name,Color,Rarity,# GIH,GIH WR
Regent's Authority,W,C,7532,54.6%
"Norika Yamazaki, the Poet",W,U,20302,54.6%
Debt to the Kami,B,C,9121,54.5%
"Nashi, Moon Sage's Scion",B,M,4655,54.4%
Flame Discharge,R,U,21837,54.3%
Webspinner Cuff,G,U,20170,54.2%
Armguard Familiar,U,C,44608,54.2%
Papercraft Decoy,,C,41953,54.2%
Historian's Wisdom,G,U,8939,54.2%
"Sokenzan, Crucible of Defiance",R,R,6505,54.2%
Unstoppable Ogre,R,C,31861,54.1%
Bronzeplate Boar,R,U,21100,54.1%
Bloodfell Caves,BR,B,17597,54.1%
Mnemonic Sphere,U,C,29834,54.1%
Ecologist's Terrarium,,C,46960,54.1%
Saiba Trespassers,U,C,15706,54.0%
Rugged Highlands,RG,B,13069,54.0%
Covert Technician,U,U,17261,53.9%
When We Were Young,W,U,3264,53.8%
"Risona, Asari Commander",WR,R,3520,53.8%
Swiftwater Cliffs,UR,B,15776,53.7%
Short Circuit,U,C,5421,53.7%
Lucky Offering,W,C,2485,53.6%
Spirit-Sister's Call,WB,M,2774,53.6%
Scrap Welder,R,R,5738,53.6%
Imperial Recovery Unit,W,U,11588,53.5%
Befriending the Moths,W,C,43879,53.5%
Roaring Earth,G,U,21380,53.4%
Wind-Scarred Crag,WR,B,13224,53.4%
Walking Skyscraper,,U,12004,53.4%
Moonsnare Prototype,U,C,11684,53.3%
Eiganjo Exemplar,W,C,39746,53.3%
Upriser Renegade,R,U,10288,53.2%
Kami of Industry,R,C,11719,53.2%
Acquisition Octopus,U,U,21166,53.2%
Invigorating Hot Spring,RG,U,11660,53.2%
Reckoner's Bargain,B,C,11895,53.1%
Explosive Singularity,R,M,3118,53.1%
Unforgiving One,B,U,9562,53.1%
Futurist Operative,U,U,6848,53.0%
Storyweave,G,U,5555,53.0%
Light the Way,W,C,5148,53.0%
Mobilizer Mech,U,U,7689,52.9%
Chainflail Centipede,B,C,33752,52.9%
The Shattered States Era,R,C,6304,52.8%
Explosive Entry,R,C,9059,52.8%
Reinforced Ronin,R,U,17769,52.8%
Seven-Tail Mentor,W,C,18012,52.7%
The Dragon-Kami Reborn,G,R,2192,52.6%
Okiba Salvage,B,U,6316,52.6%
Akki Ember-Keeper,R,C,22355,52.6%
Scrapyard Steelbreaker,R,C,28917,52.6%
"Satsuki, the Living Lore",WG,R,4404,52.5%
Kitsune Ace,W,C,12850,52.4%
Runaway Trash-Bot,,U,20076,52.4%
Undercity Scrounger,B,C,39639,52.3%
Orochi Merge-Keeper,G,U,18805,52.2%
Guardians of Oboro,U,C,9267,52.2%
Coiling Stalker,G,C,29769,52.1%
Asari Captain,WR,U,8467,52.1%
Dragonfly Suit,W,C,13429,52.0%
"Heiko Yamazaki, the General",R,U,16493,52.0%
Tempered in Solitude,R,U,10931,51.9%
Gift of Wrath,R,C,4783,51.8%
Peerless Samurai,R,C,17881,51.8%
Imperial Subduer,W,C,22436,51.8%
Go-Shintai of Ancient Wars,R,U,16047,51.7%
"Light-Paws, Emperor's Voice",W,R,1301,51.3%
Malicious Malfunction,B,U,5171,51.2%
Akki Ronin,R,C,12838,50.9%
Ambitious Assault,R,C,6477,50.9%
Crackling Emergence,R,C,3735,50.8%
Reito Sentinel,,U,2788,50.8%
Automated Artificer,,C,14618,50.7%
Spell Pierce,U,C,2819,50.7%
Heir of the Ancient Fang,G,C,13954,50.5%
Mechtitan Core,,R,5846,50.3%
March of Reckless Joy,R,R,2859,50.3%
Ancestral Katana,W,C,13863,50.3%
Dragonspark Reactor,R,U,20205,50.2%
Thundersteel Colossus,,C,9334,50.1%
Awakened Awareness,U,U,2521,49.7%
Discover the Impossible,U,U,728,49.5%
Mech Hangar,,U,3561,49.3%
Secluded Courtyard,,U,3239,49.3%
Kindled Fury,R,C,3354,49.0%
Reality Heist,U,U,4674,49.0%
Futurist Sentinel,U,C,6025,48.9%
Dramatist's Puppet,,C,1718,48.5%
Eiganjo Uprising,WR,R,2067,48.5%
Hidetsugu Consumes All,BR,M,804,47.9%
Anchor to Reality,U,U,1553,47.5%
"Isshin, Two Heavens as One",WBR,R,1475,47.3%
Enormous Energy Blade,B,U,1768,46.6%
Bronze Cudgels,,U,1146,46.4%
Invoke Calamity,R,R,352,46.3%
Reckoner Shakedown,B,C,1235,46.0%
Akki War Paint,R,C,1710,45.4%
Mirror Box,,R,187,
March of Burgeoning Life,G,R,120,
